Part,MajorNo,Major,Sub,Theory,Theorists,OldMajor,Source
Family,5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",A. 짝짓기·동질혼 (Mating & Homogamy),Intergenerational Transmission Theory,,V. Specific Family Phenomenon Theories,CSV
Family,5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",A. 짝짓기·동질혼 (Mating & Homogamy),Social Learning Theory of Aggression (Family),,V. Specific Family Phenomenon Theories,CSV
Family,5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",A. 짝짓기·동질혼 (Mating & Homogamy),Power and Control Wheel (Family Violence),,V. Specific Family Phenomenon Theories,CSV
Family,5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",A. 짝짓기·동질혼 (Mating & Homogamy),Family Resilience Theory,,V. Specific Family Phenomenon Theories,CSV
Family,5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",A. 짝짓기·동질혼 (Mating & Homogamy),Family Stress Theory (ABCX Model),,V. Specific Family Phenomenon Theories,CSV
Family,5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",A. 짝짓기·동질혼 (Mating & Homogamy),Illness Trajectory Model (Family),,V. Specific Family Phenomenon Theories,CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",B. 교차성·서사적 가족치료 (Intersectionality & Narrative),Narrative Family Therapy,,VI. Advanced & Interdisciplinary Family Theories,CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),Social Construction of Illness (Family),Arthur Kleinman,VI. Advanced,CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),Indigenous Family Theory,N/A (Emerging field),VI. Advanced,CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),Decolonizing Family Studies,N/A (Emerging field),VI. Advanced,CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),Transnational Families Theory,"Peggy Levitt, Parvati Raghuram",VI. Advanced,CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),Global Care Chains,"Arlie Russell Hochschild, Rhacel Salazar Parreñas",VI. Advanced,CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),More-than-Human Family Theory,Donna Haraway (related to multispecies ethnography),VI. Advanced,CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),Digital Family Theory,N/A (Emerging field),VI. Advanced,CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),Platformization of Family Life,"N/A (Emerging field, related to Platform Society)",VI. Advanced,CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Family Coping Theory,,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Ambiguous Loss Theory (Family),,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Multigenerational Transmission Process,,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Emotional Cutoff,,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Family Caregiving Theory,,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Family-Centered Care,,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Family Law Theory,,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Family Policy Theory,,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Technology Acceptance Model (TAM) in Families,,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Migrant Family Theory,,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Acculturation Theory (Family),,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Family Poverty Theory,,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Sociology of Family and Religion,,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),History of the Family (Social Construction),,VII. Specialized Family Theories (Added),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),B. 다세대 전수·정서적 단절 (Transmission & Emotional Cutoff),Demographic History of the Family,,VII. Specialized Family Theories (Added),CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Disability and Family Theory,,VIII. Emerging & Intersectional Family Theories,CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Care Ethics (Family),"Carol Gilligan, Joan Tronto (applied to family)",VIII. Emerging,CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Ecofeminist Family Theory,Rosemary Radford Ruether,VIII. Emerging,CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Climate Change and Family Theory,N/A (Emerging research area),VIII. Emerging,CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Incarceration and Family Theory,Bruce Western,VIII. Emerging,CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Digital Divide (Family),Eszter Hargittai (applied to family),VIII. Emerging,CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Online Dating Theory (Family Formation),N/A (Emerging research area),VIII. Emerging,CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Human Trafficking and Family Theory,N/A (Critical research area),VIII. Emerging,CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Refugee Family Theory,N/A (Emerging research area),VIII. Emerging,CSV
Family,4,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),Emotion Regulation Theory (Family),,IX. Advanced Family Dynamics & Processes,CSV
Family,4,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),Expressed Emotion (EE) Theory (Family),George W. Brown,IX. Advanced Family Dynamics,CSV
Family,4,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),Family Cohesion Theory,David H. Olson,IX. Advanced Family Dynamics,CSV
Family,4,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),Family Adaptability Theory,David H. Olson,IX. Advanced Family Dynamics,CSV
Family,4,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),Family Power Theory,Gerald R. Leslie,IX. Advanced Family Dynamics,CSV
Family,4,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),Conflict Resolution Styles (Family),"Kenneth Thomas, Ralph Kilmann (adapted for family)",IX. Advanced Family Dynamics,CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",B. 사회자본·지지망 (Social Capital & Networks),Bridging and Bonding Social Capital (Family),,X. Theoretical Frameworks (Applied to Family),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",B. 사회자본·지지망 (Social Capital & Networks),Collective Efficacy (Family),Robert Sampson (applied to family),X. Theoretical Frameworks (A. Social Capital (Family)),CSV
Family,4,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),Vicarious Learning (Family),Albert Bandura (applied to family),X. Theoretical Frameworks (B. Social Learning),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",A. 생태체계 (Ecological Systems),Exosystem (Family),Urie Bronfenbrenner,X. Theoretical Frameworks (C. Ecological),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",A. 생태체계 (Ecological Systems),Macrosystem (Family),Urie Bronfenbrenner,X. Theoretical Frameworks (C. Ecological),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",A. 생태체계 (Ecological Systems),Chronosystem (Family),Urie Bronfenbrenner,X. Theoretical Frameworks (C. Ecological),CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",A. 가부장제·젠더 역할 (Patriarchy & Gender Roles),Patriarchy (Family),Kate Millett (applied to family),X. Theoretical Frameworks (D. Critical),CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",A. 가부장제·젠더 역할 (Patriarchy & Gender Roles),Gender Roles (Family),N/A (Common sociological concept),X. Theoretical Frameworks (D. Critical),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Family Systems Genogram,Murray Bowen,X. Theoretical Frameworks (E. Psychodynamic),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Emotional Triangles (Family),Murray Bowen,X. Theoretical Frameworks (E. Psychodynamic),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Undifferentiated Family Ego Mass,Murray Bowen,X. Theoretical Frameworks (E. Psychodynamic),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),A. 분화·정서적 삼각관계 (Differentiation & Emotional Triangles),Societal Emotional Process,Murray Bowen,X. Theoretical Frameworks (E. Psychodynamic),CSV
Family,5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",B. 결혼 질·합리적 선택 (Marital Quality & Rational Choice),Bargaining Theory (Family),Robert Pollak,X. Theoretical Frameworks (F. Rational Choice),CSV
Family,13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",B. 가족 스트레스·만성 슬픔 (Family Stress & Chronic Sorrow),Acute vs. Chronic Stress (Family),"Hans Selye (General stress, applied to family)",X. Theoretical Frameworks (G. Social Stress),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",A. 생태체계 (Ecological Systems),Transitions and Trajectories (Family),Glen Elder Jr.,X. Theoretical Frameworks (H. Lifespan Development),CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",B. 돌봄노동·가사분담 (Care Labor & Division of Labor),Dual-Earner Household Theory,Arlie Russell Hochschild,X. Theoretical Frameworks (I. Feminist),CSV
Family,1,가족사회학·구조 (Family Sociology & Structure),C. 가족제도·자본주의 (Family Institution & Capitalism),Commodification of Family Life,Nancy Fraser,X. Theoretical Frameworks (J. Critical Theory),CSV
Family,13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",A. 가족 부담·정신건강 (Family Burden & Mental Health),Social Support Theory (Family Health),Sidney Cobb (applied to family),X. Theoretical Frameworks (K. Health Sociology),CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",B. 돌봄노동·가사분담 (Care Labor & Division of Labor),Household Division of Labor Theory,Jonathan Gershuny,X. Theoretical Frameworks (L. Gender Studies),CSV
Family,9,친족·인류학 (Kinship & Anthropology),A. 친족체계 (Kinship Systems),Kinship Systems Theory,"Claude Lévi-Strauss, Lewis Henry Morgan",X. Theoretical Frameworks (M. Cultural Anthropology),CSV
Family,2,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),B. 의사소통·구조적 가족치료 (Communication & Structural Therapy),Family Rules Theory,Don D. Jackson,X. Theoretical Frameworks (N. Communication Studies),CSV
Family,4,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),Group Cohesion Theory (Family),"Leon Festinger (General group cohesion, applied to family)",X. Theoretical Frameworks (O. Social Psychology),CSV
Family,3,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),C. 세대간 양가성·연대 (Intergenerational Ambivalence & Solidarity),Intergenerational Solidarity Theory,Vern L. Bengtson,X. Theoretical Frameworks (P. Aging Studies),CSV
Family,8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",A. 아동중심·양육 (Child-Centered & Parenting),Child-Centered Family Theory,"N/A (General pedagogical concept, applied to family)",X. Theoretical Frameworks (Q. Childhood Studies),CSV
Family,6,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)",B. 아동 최선이익·양육권 (Best Interests & Custody),Best Interests of the Child Doctrine,"N/A (Legal principle, theorized)",X. Theoretical Frameworks (R. Legal Studies),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",C. 복지국가·가족정책 (Welfare State & Family Policy),Welfare State and Family Theory,Gøsta Esping-Andersen,X. Theoretical Frameworks (S. Public Policy),CSV
Family,4,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),Affective Practices in Families,N/A (Emerging area within sociology of emotions),X. Theoretical Frameworks (T. Sociology of Emotions),CSV
Family,8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",A. 아동중심·양육 (Child-Centered & Parenting),Sociology of Childhood (Family),William A. Corsaro,X. Theoretical Frameworks (U. Sociology of Childhood),CSV
Family,13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",C. 가족 회복탄력성·강인성 (Family Resilience & Hardiness),Family Resilience and Disability,Froma Walsh (applied to disability),X. Theoretical Frameworks (V. Disability Studies),CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",B. 돌봄노동·가사분담 (Care Labor & Division of Labor),Gendered Division of Labor (Family),Arlie Russell Hochschild,X. Theoretical Frameworks (W. Gender and Work),CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),Remittance Economy (Family),N/A (Economic aspect of transnational families),X. Theoretical Frameworks (X. Global & Transnational),CSV
Family,13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",A. 가족 부담·정신건강 (Family Burden & Mental Health),Family Burden Theory (Mental Health),"N/A (Clinical theory, applied to family)",X. Theoretical Frameworks (Y. Family & Mental Health),CSV
Family,6,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)",A. 이혼·무책주의 이혼 (Divorce & No-Fault),Second Demographic Transition Theory (Family),"Ron Lesthaeghe, Dirk van de Kaa",X. Theoretical Frameworks (Z. Family & Social Change),CSV
Family,6,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)",A. 이혼·무책주의 이혼 (Divorce & No-Fault),No-Fault Divorce Theory,Lenore J. Weitzman,X. Theoretical Frameworks (AA. Family & Law),CSV
Family,14,디지털 시대 가족·여가 (Digital Age Family & Leisure),A. 디지털·테크노 가족 (Digital & Technofamily),Digital Family Rhythms,N/A (Emerging area),X. Theoretical Frameworks (BB. Family & Technology),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",C. 복지국가·가족정책 (Welfare State & Family Policy),Cumulative Disadvantage Theory (Family),Erik Olin Wright (applied to family),X. Theoretical Frameworks (CC. Family & Social Inequality),CSV
Family,5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",C. 가족 정체성·의례 (Family Identity & Rituals),Family Narratives (Cultural),Robyn Fivush,X. Theoretical Frameworks (DD. Family & Cultural Studies),CSV
Family,9,친족·인류학 (Kinship & Anthropology),C. 효·세대 문화 (Filial Piety & Generational Culture),Filial Piety (Family),"Confucius (historical concept, theorized in sociology)",X. Theoretical Frameworks (EE. Family & Aging),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",C. 복지국가·가족정책 (Welfare State & Family Policy),Universal Basic Income (UBI) and Family,"N/A (Policy, theorized for family impacts)",X. Theoretical Frameworks (FF. Family & Policy),CSV
Family,8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",C. 부모-자녀 상호작용·자율성 (Parent-Child Interaction & Autonomy),Family Risk Factors for Delinquency,Terrie E. Moffitt,X. Theoretical Frameworks (GG. Family & Crime),CSV
Family,13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",A. 가족 부담·정신건강 (Family Burden & Mental Health),Social Support and Family Health,Lisa F. Berkman,X. Theoretical Frameworks (HH. Family & Health),CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",C. 퀴어·LGBTQ+ 가족 (Queer & LGBTQ+ Family),LGBTQ+ Parenting Theory,Charlotte J. Patterson,X. Theoretical Frameworks (II. Family & Sexuality),CSV
Family,14,디지털 시대 가족·여가 (Digital Age Family & Leisure),A. 디지털·테크노 가족 (Digital & Technofamily),Technofamily Theory,"N/A (Emerging, broad concept)",X. Theoretical Frameworks (JJ. Family & Technology),CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Family Abolition (Critical Theory),Sophie Lewis,X. Theoretical Frameworks (KK. Family & Social Justice),CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Reproductive Justice (Family),Loretta Ross,X. Theoretical Frameworks (LL. Family & Reproduction),CSV
Family,7,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",B. 돌봄노동·가사분담 (Care Labor & Division of Labor),Care Economy (Family),Nancy Folbre,X. Theoretical Frameworks (MM. Family & Care),CSV
Family,5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",C. 가족 정체성·의례 (Family Identity & Rituals),Family Identity Theory,N/A (Communication/sociological concept),X. Theoretical Frameworks (NN. Family & Identity),CSV
Family,8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",A. 아동중심·양육 (Child-Centered & Parenting),Parental Involvement Theory (Education),Joyce L. Epstein,X. Theoretical Frameworks (OO. Family & Education),CSV
Family,9,친족·인류학 (Kinship & Anthropology),C. 효·세대 문화 (Filial Piety & Generational Culture),Historical Demography (Family),"E.A. Wrigley, R.S. Schofield",X. Theoretical Frameworks (PP. Family & History),CSV
Family,8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",B. 모성·부성 (Motherhood & Fatherhood),Transnational Motherhood Theory,Rhacel Salazar Parreñas,X. Theoretical Frameworks (QQ. Family & Migration),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",C. 복지국가·가족정책 (Welfare State & Family Policy),Familialism,N/A (Political/sociological concept),X. Theoretical Frameworks (RR. Family & Policy),CSV
Family,2,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),C. 항상성·하위체계 (Homeostasis & Subsystems),Scapegoat Theory (Family),"N/A (Clinical concept, applied to family)",X. Theoretical Frameworks (SS. Family & Psychology),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",B. 사회자본·지지망 (Social Capital & Networks),Bonding Capital (Family),Robert Putnam (applied to family),X. Theoretical Frameworks (TT. Family & Social Capital),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",B. 사회자본·지지망 (Social Capital & Networks),Bridging Capital (Family),Robert Putnam (applied to family),X. Theoretical Frameworks (UU. Family & Social Capital),CSV
Family,13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",B. 가족 스트레스·만성 슬픔 (Family Stress & Chronic Sorrow),Chronic Sorrow (Family),Deborah Gold,X. Theoretical Frameworks (VV. Family & Stress),CSV
Family,13,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",C. 가족 회복탄력성·강인성 (Family Resilience & Hardiness),Hardiness (Family),Suzanne C. Ouellette (adapted for family),X. Theoretical Frameworks (WW. Family & Resilience),CSV
Family,11,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),Conjoint Family Therapy,Virginia Satir,X. Theoretical Frameworks (XX. Family & Therapy),CSV
Family,11,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),Strategic Family Therapy,"Jay Haley, Cloe Madanes",X. Theoretical Frameworks (YY. Family & Therapy),CSV
Family,11,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),Milan Systemic Family Therapy,Mara Selvini Palazzoli,X. Theoretical Frameworks (ZZ. Family & Therapy),CSV
Family,11,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),Narrative Exposure Therapy (Family Context),Maggie Schauer,X. Theoretical Frameworks (AAA. Family & Therapy),CSV
Family,4,애착·심리역동 가족이론 (Attachment & Psychodynamic),B. 대상관계·내적가족체계 (Object Relations & IFS),Internal Family Systems (IFS),Richard C. Schwartz,X. Theoretical Frameworks (BBB. Family & Therapy),CSV
Family,10,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",B. 교차성·서사적 가족치료 (Intersectionality & Narrative),Critical Family Studies,Janet R. Finch,X. Theoretical Frameworks (CCC. Family & Theory),CSV
Family,14,디지털 시대 가족·여가 (Digital Age Family & Leisure),B. 가상·포스트휴먼 가족 (Virtual & Posthuman Family),Posthuman Family,N/A (Emerging concept),X. Theoretical Frameworks (DDD. Family & Theory),CSV
Family,14,디지털 시대 가족·여가 (Digital Age Family & Leisure),B. 가상·포스트휴먼 가족 (Virtual & Posthuman Family),Virtual Family (Sociology),N/A (Emerging concept),X. Theoretical Frameworks (EEE. Family & Theory),CSV
Family,1,가족사회학·구조 (Family Sociology & Structure),C. 가족제도·자본주의 (Family Institution & Capitalism),Familial Capitalism,Alfred D. Chandler Jr. (related to business history),X. Theoretical Frameworks (FFF. Family & Theory),CSV
Family,1,가족사회학·구조 (Family Sociology & Structure),B. 사회구성주의·포스트모던 (Social Construction & Postmodern),The Myth of the Traditional Family,Judith Stacey,X. Theoretical Frameworks (GGG. Family & Theory),CSV
Family,9,친족·인류학 (Kinship & Anthropology),B. 신친족연구·선택가족 (New Kinship & Chosen Families),Chosen Families,Kath Weston,X. Theoretical Frameworks (HHH. Family & Theory),CSV
Family,9,친족·인류학 (Kinship & Anthropology),B. 신친족연구·선택가족 (New Kinship & Chosen Families),New Kinship Studies,Janet Carsten,X. Theoretical Frameworks (III. Family & Theory),CSV
Family,1,가족사회학·구조 (Family Sociology & Structure),C. 가족제도·자본주의 (Family Institution & Capitalism),Family Norms,N/A (Sociological concept),X. Theoretical Frameworks (JJJ. Family & Theory),CSV
Family,5,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",C. 가족 정체성·의례 (Family Identity & Rituals),Family Rituals,Evan Imber-Black,X. Theoretical Frameworks (KKK. Family & Theory),CSV
Family,2,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),B. 의사소통·구조적 가족치료 (Communication & Structural Therapy),Family Communication Patterns Theory,Mary Anne Fitzpatrick,X. Theoretical Frameworks (LLL. Family & Theory),CSV
Family,12,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",B. 사회자본·지지망 (Social Capital & Networks),Social Support Networks (Family),N/A (Social network theory applied to family),X. Theoretical Frameworks (MMM. Family & Theory),CSV
Family,2,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),C. 항상성·하위체계 (Homeostasis & Subsystems),Interparental Conflict Theory,E. Mavis Hetherington,X. Theoretical Frameworks (NNN. Family & Theory),CSV
Family,8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",C. 부모-자녀 상호작용·자율성 (Parent-Child Interaction & Autonomy),Parent-Child Coercion Theory,Gerald Patterson,X. Theoretical Frameworks (OOO. Family & Theory),CSV
Family,6,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)",C. 부모 소외·재구성가족 (Parental Alienation & Reconstitution),Parental Alienation Theory,Richard Gardner,X. Theoretical Frameworks (PPP. Family & Theory),CSV
Family,8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",C. 부모-자녀 상호작용·자율성 (Parent-Child Interaction & Autonomy),Adolescent Autonomy Granting Theory,Laurence Steinberg,X. Theoretical Frameworks (QQQ. Family & Theory),CSV
Family,2,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),A. 체계·순환 인과 (Systems & Circular Causality),Homeostatic Family Theory,Don D. Jackson,X. Theoretical Frameworks (RRR. Family & Theory),CSV
Family,2,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),C. 항상성·하위체계 (Homeostasis & Subsystems),Scapegoating (Family Dynamics),N/A (Common clinical observation),X. Theoretical Frameworks (SSS. Family & Theory),CSV
Family,11,가족치료 실천 모델 (Family Therapy Practice Models),C. 가족생활교육·강점 (Family Life Education & Strengths),Family Life Education Theory,"N/A (Applied field, draws from multiple theories)",X. Theoretical Frameworks (TTT. Family & Theory),CSV
