film_title,film_year,film_wikidata,tmdb_id,n_director_refs,director_slugs,rep_types,source
Aguaespejo granadino,1955,,,0,,,film_lineage
Fuego en Castilla,1960,,,0,,,film_lineage
Acariño galaico,1961,,,0,,,film_lineage
Las Hurdes (Tierra sin pan),1933,,,0,,,film_lineage
El sol del membrillo,1992,,,0,,,film_lineage
"Bienvenido, Míster Marshall",1953,,,0,,,film_lineage
Vida en sombras,1948,,,0,,,film_lineage
Muerte de un ciclista,1955,,,0,,,film_lineage
Furtivos,1975,,,0,,,film_lineage
Los santos inocentes,1984,,,0,,,film_lineage
Tren de sombras,1997,,,0,,,film_lineage
Campanadas a medianoche,1965,,,0,,,film_lineage
La torre de los siete jorobados,1944,,,0,,,film_lineage
Un perro andaluz,1929,,,0,,,film_lineage
Surcos,1951,,,0,,,film_lineage
Mujeres al borde de un ataque de nervios,1988,,,0,,,film_lineage
¿Qué he hecho yo para merecer esto?,1984,,,0,,,film_lineage
Hable con ella,2002,,,0,,,film_lineage
Cría cuervos...,1976,,,0,,,film_lineage
Canciones para después de una guerra,1976,,,0,,,film_lineage
Todo sobre mi madre,1999,,,0,,,film_lineage
La tía Tula,1964,,,0,,,film_lineage
Cielo negro,1951,,,0,,,film_lineage
El cochecito,1960,,,0,,,film_lineage
La aldea maldita,1930,,,0,,,film_lineage
El viaje a ninguna parte,1986,,,0,,,film_lineage
"Vampir, Cuadecuc",1970,,,0,,,film_lineage
"Amanece, que no es poco",1989,,,0,,,film_lineage
La vida en un hilo,1945,,,0,,,film_lineage
En construcción,2001,,,0,,,film_lineage
El cebo,1958,,,0,,,film_lineage
El día de la bestia,1995,,,0,,,film_lineage
Nueve cartas a Berta,1966,,,0,,,film_lineage
El pisito,1958,,,0,,,film_lineage
Umbracle,1972,,,0,,,film_lineage
La prima Angélica,1974,,,0,,,film_lineage
Lejos de los árboles,1972,,,0,,,film_lineage
La verbena de la Paloma,1935,,,0,,,film_lineage
Función de noche,1981,,,0,,,film_lineage
Sierra de Teruel,1940,,,0,,,film_lineage
Mi tío Jacinto,1956,,,0,,,film_lineage
La escopeta nacional,1978,,,0,,,film_lineage
Honor de cavalleria,2006,,,0,,,film_lineage
La piel que habito,2011,,,0,,,film_lineage
La ley del deseo,1987,,,0,,,film_lineage
De niños,2003,,,0,,,film_lineage
Ere erera baleibu izik subua aruaren,1970,,,0,,,film_lineage
Innisfree,1990,,,0,,,film_lineage
Informe general sobre unas cuestiones de interés para una proyección pública,1977,,,0,,,film_lineage
Te doy mis ojos,2003,,,0,,,film_lineage
Contactos,1970,,,0,,,film_lineage
Amantes,1991,,,0,,,film_lineage
Los amantes del círculo polar,1998,,,0,,,film_lineage
Tras el cristal,1986,,,0,,,film_lineage
Margarita y el lobo,1969,,,0,,,film_lineage
¿Quién puede matar a un niño?,1976,,,0,,,film_lineage
Atraco a las tres,1962,,,0,,,film_lineage
El laberinto del fauno,2006,,,0,,,film_lineage
Bilbao,1978,,,0,,,film_lineage
"Elisa, vida mía",1977,,,0,,,film_lineage
Los golfos,1960,,,0,,,film_lineage
En la ciudad de Sylvia,2007,,,0,,,film_lineage
Blancanieves,2012,,,0,,,film_lineage
La isla mínima,2014,,,0,,,film_lineage
El cielo gira,2004,,,0,,,film_lineage
Tesis,1996,,,0,,,film_lineage
Abre los ojos,1997,,,0,,,film_lineage
Ana y los lobos,1973,,,0,,,film_lineage
"Marcelino, pan y vino",1955,,,0,,,film_lineage
Belle Époque,1992,,,0,,,film_lineage
La cabina,1972,,,0,,,film_lineage
Queridísimos verdugos,1977,,,0,,,film_lineage
Monos como Becky,1999,,,0,,,film_lineage
La vida por delante,1958,,,0,,,film_lineage
El crack,1981,,,0,,,film_lineage
Vacas,1992,,,0,,,film_lineage
Historia de mi muerte,2013,,,0,,,film_lineage
Domingo de carnaval,1945,,,0,,,film_lineage
Nunca pasa nada,1963,,,0,,,film_lineage
La leyenda del tiempo,2006,,,0,,,film_lineage
La vida mancha,2003,,,0,,,film_lineage
Mi vida sin mí,2003,,,0,,,film_lineage
Solas,1999,,,0,,,film_lineage
Puente de Varsovia,1990,,,0,,,film_lineage
Vivir en Sevilla,1978,,,0,,,film_lineage
Tasio,1984,,,0,,,film_lineage
O Bandido da Luz Vermelha,1968,,,0,,,film_lineage
São Paulo S/A,1965,,,0,,,film_lineage
Cidade de Deus,2002,,,0,,,film_lineage
O Pagador de Promessas,1962,,,0,,,film_lineage
Macunaíma,1969,,,0,,,film_lineage
Central do Brasil,1998,,,0,,,film_lineage
"Pixote, a Lei do Mais Fraco",1981,,,0,,,film_lineage
Ilha das Flores,1989,,,0,,,film_lineage
Eles Não Usam Black-Tie,1981,,,0,,,film_lineage
O Som ao Redor,2012,,,0,,,film_lineage
Lavoura Arcaica,2001,,,0,,,film_lineage
Jogo de Cena,2007,,,0,,,film_lineage
"Bye Bye, Brasil",1979,,,0,,,film_lineage
Assalto ao Trem Pagador,1962,,,0,,,film_lineage
São Bernardo,1974,,,0,,,film_lineage
"Iracema, uma Transa Amazônica",1975,,,0,,,film_lineage
Noite Vazia,1964,,,0,,,film_lineage
Os Fuzis,1964,,,0,,,film_lineage
Ganga Bruta,1933,,,0,,,film_lineage
Bang Bang,1971,,,0,,,film_lineage
A Hora e a Vez de Augusto Matraga,1968,,,0,,,film_lineage
"Rio, 40 Graus",1955,,,0,,,film_lineage
Edifício Master,2002,,,0,,,film_lineage
Memórias do Cárcere,1984,,,0,,,film_lineage
Tropa de Elite,2007,,,0,,,film_lineage
O Padre e a Moça,1965,,,0,,,film_lineage
Serras da Desordem,2006,,,0,,,film_lineage
Santiago,2007,,,0,,,film_lineage
O Dragão da Maldade contra o Santo Guerreiro,1969,,,0,,,film_lineage
Tropa de Elite 2 – O Inimigo Agora é Outro,2010,,,0,,,film_lineage
O Invasor,2002,,,0,,,film_lineage
Todas as Mulheres do Mundo,1967,,,0,,,film_lineage
Matou a Família e Foi ao Cinema,1969,,,0,,,film_lineage
Dona Flor e Seus Dois Maridos,1976,,,0,,,film_lineage
Os Cafajestes,1962,,,0,,,film_lineage
O Homem do Sputnik,1959,,,0,,,film_lineage
A Hora da Estrela,1985,,,0,,,film_lineage
Sem Essa Aranha,1970,,,0,,,film_lineage
SuperOutro,1989,,,0,,,film_lineage
Filme Demência,1986,,,0,,,film_lineage
À Meia-Noite Levarei Sua Alma,1964,,,0,,,film_lineage
Terra Estrangeira,1996,,,0,,,film_lineage
A Mulher de Todos,1969,,,0,,,film_lineage
"Rio, Zona Norte",1957,,,0,,,film_lineage
Alma Corsária,1993,,,0,,,film_lineage
A Margem,1967,,,0,,,film_lineage
Toda Nudez Será Castigada,1973,,,0,,,film_lineage
Madame Satã,2000,,,0,,,film_lineage
A Falecida,1965,,,0,,,film_lineage
O Despertar da Besta – Ritual dos Sádicos,1969,,,0,,,film_lineage
Tudo Bem,1978,,,0,,,film_lineage
A Idade da Terra,1980,,,0,,,film_lineage
Abril Despedaçado,2001,,,0,,,film_lineage
O Grande Momento,1958,,,0,,,film_lineage
O Lobo Atrás da Porta,2014,,,0,,,film_lineage
O Beijo da Mulher-Aranha,1985,,,0,,,film_lineage
O Homem que Virou Suco,1980,,,0,,,film_lineage
O Auto da Compadecida,1999,,,0,,,film_lineage
O Cangaceiro,1953,,,0,,,film_lineage
A Lira do Delírio,1978,,,0,,,film_lineage
O Caso dos Irmãos Naves,1967,,,0,,,film_lineage
Ônibus 174,2002,,,0,,,film_lineage
O Anjo Nasceu,1969,,,0,,,film_lineage
Meu Nome é... Tonho,1969,,,0,,,film_lineage
O Céu de Suely,2006,,,0,,,film_lineage
Que Horas Ela Volta?,2015,,,0,,,film_lineage
Bicho de Sete Cabeças,2001,,,0,,,film_lineage
Tatuagem,2013,,,0,,,film_lineage
Estômago,2010,,,0,,,film_lineage
"Cinema, Aspirinas e Urubus",2005,,,0,,,film_lineage
Baile Perfumado,1997,,,0,,,film_lineage
"Pra Frente, Brasil",1982,,,0,,,film_lineage
"Lúcio Flávio, o Passageiro da Agonia",1976,,,0,,,film_lineage
O Viajante,1999,,,0,,,film_lineage
Anjos do Arrabalde,1987,,,0,,,film_lineage
Mar de Rosas,1977,,,0,,,film_lineage
O País de São Saruê,1971,,,0,,,film_lineage
A Marvada Carne,1985,,,0,,,film_lineage
Sargento Getúlio,1983,,,0,,,film_lineage
Inocência,1983,,,0,,,film_lineage
Amarelo Manga,2002,,,0,,,film_lineage
Os Saltimbancos Trapalhões,1981,,,0,,,film_lineage
Di,1977,,,0,,,film_lineage
Os Inconfidentes,1972,,,0,,,film_lineage
Esta Noite Encarnarei no Teu Cadáver,1966,,,0,,,film_lineage
Cabaret Mineiro,1980,,,0,,,film_lineage
Chuvas de Verão,1977,,,0,,,film_lineage
Dois Córregos,1999,,,0,,,film_lineage
Aruanda,1960,,,0,,,film_lineage
Carandiru,2003,,,0,,,film_lineage
Blá Blá Blá,1968,,,0,,,film_lineage
O Signo do Caos,2003,,,0,,,film_lineage
O Ano em que Meus Pais Saíram de Férias,2006,,,0,,,film_lineage
"Meteorango Kid, Herói Intergaláctico",1969,,,0,,,film_lineage
Guerra Conjugal,1975,,,0,,,film_lineage
"Bar Esperança, o Último que Fecha",1983,,,0,,,film_lineage
Das Cabinet des Dr. Caligari,1920,,,0,,,film_lineage
Berlin – Die Sinfonie der Großstadt,1927,,,0,,,film_lineage
Nosferatu – Eine Symphonie des Grauens,1922,,,0,,,film_lineage
Menschen am Sonntag,1930,,,0,,,film_lineage
Die Mörder sind unter uns,1946,,,0,,,film_lineage
Der blaue Engel,1930,,,0,,,film_lineage
Die freudlose Gasse,1925,,,0,,,film_lineage
Der Untertan,1951,,,0,,,film_lineage
Kuhle Wampe oder: Wem gehört die Welt?,1932,,,0,,,film_lineage
Der Student von Prag,1913,,,0,,,film_lineage
Die Brücke,1959,,,0,,,film_lineage
Abschied von gestern,1966,,,0,,,film_lineage
Mutter Krausens Fahrt ins Glück,1929,,,0,,,film_lineage
"Der Golem, wie er in die Welt kam",1920,,,0,,,film_lineage
"Dr. Mabuse, der Spieler",1922,,,0,,,film_lineage
Unter den Brücken,1944,,,0,,,film_lineage
Die Nibelungen,1924,,,0,,,film_lineage
Der letzte Mann,1924,,,0,,,film_lineage
Der müde Tod,1921,,,0,,,film_lineage
Liebelei,1933,,,0,,,film_lineage
Spur der Steine,1966,,,0,,,film_lineage
Wintergartenprogramm,1895,,,0,,,film_lineage
Lola Montez,1955,,,0,,,film_lineage
Faust – eine deutsche Volkssage,1926,,,0,,,film_lineage
Heimat – Eine deutsche Chronik,1984,,,0,,,film_lineage
Deutschland im Herbst,1978,,,0,,,film_lineage
Madame Dubarry,1919,,,0,,,film_lineage
Berlin – Alexanderplatz,1931,,,0,,,film_lineage
Die Ehe der Maria Braun,1979,,,0,,,film_lineage
Münchhausen,1943,,,0,,,film_lineage
Die Büchse der Pandora,1929,,,0,,,film_lineage
Die Blechtrommel,1979,,,0,,,film_lineage
Das Testament des Dr. Mabuse,1933,,,0,,,film_lineage
Im Lauf der Zeit,1976,,,0,,,film_lineage
Triumph des Willens,1935,,,0,,,film_lineage
Der junge Törless,1966,,,0,,,film_lineage
Katzelmacher,1969,,,0,,,film_lineage
Große Freiheit Nr. 7,1944,,,0,,,film_lineage
Rotation,1949,,,0,,,film_lineage
Wir Wunderkinder,1958,,,0,,,film_lineage
Das Wachsfigurenkabinett,1924,,,0,,,film_lineage
Varieté,1925,,,0,,,film_lineage
Rosen für den Staatsanwalt,1959,,,0,,,film_lineage
Alice in den Städten,1974,,,0,,,film_lineage
Die Halbstarken,1956,,,0,,,film_lineage
Die verlorene Ehre der Katharina Blum,1975,,,0,,,film_lineage
Westfront 1918,1930,,,0,,,film_lineage
Die Dreigroschenoper,1931,,,0,,,film_lineage
Solo Sunny,1979,,,0,,,film_lineage
Angst essen Seele auf,1974,,,0,,,film_lineage
Der Verlorene,1951,,,0,,,film_lineage
Die Drei von der Tankstelle,1930,,,0,,,film_lineage
In jenen Tagen,1947,,,0,,,film_lineage
Jud Süß,1940,,,0,,,film_lineage
Der geteilte Himmel,1964,,,0,,,film_lineage
Der Himmel über Berlin,1987,,,0,,,film_lineage
Nicht versöhnt,1965,,,0,,,film_lineage
Vampyr – Der Traum des Allan Gray,1932,,,0,,,film_lineage
Tagebuch einer Verlorenen,1929,,,0,,,film_lineage
Der Prozeß,1984,,,0,,,film_lineage
Händler der vier Jahreszeiten,1972,,,0,,,film_lineage
Romanze in Moll,1943,,,0,,,film_lineage
Ehe im Schatten,1947,,,0,,,film_lineage
Die Legende von Paul und Paula,1973,,,0,,,film_lineage
Chronik der Anna Magdalena Bach,1968,,,0,,,film_lineage
"Aguirre, der Zorn Gottes",1972,,,0,,,film_lineage
Ich war neunzehn,1968,,,0,,,film_lineage
Die Abenteuer des Prinzen Achmed,1926,,,0,,,film_lineage
Sterne,1959,,,0,,,film_lineage
Die bleierne Zeit,1981,,,0,,,film_lineage
Die Straße,1923,,,0,,,film_lineage
Deutschland im Jahre Null,1948,,,0,,,film_lineage
Kameradschaft,1931,,,0,,,film_lineage
Emil und die Detektive,1931,,,0,,,film_lineage
Berlin – Ecke Schönhauser…,1957,,,0,,,film_lineage
Der Kongreß tanzt,1931,,,0,,,film_lineage
Das Kaninchen bin ich,1965,,,0,,,film_lineage
Die Artisten in der Zirkuskuppel: ratlos,1968,,,0,,,film_lineage
Fontane Effi Briest,1974,,,0,,,film_lineage
Der amerikanische Freund,1977,,,0,,,film_lineage
Asphalt,1929,,,0,,,film_lineage
Jakob der Lügner,1974,,,0,,,film_lineage
Jeder für sich und Gott gegen alle,1974,,,0,,,film_lineage
"Nachts, wenn der Teufel kam",1957,,,0,,,film_lineage
Mysterien eines Frisiersalons,1923,,,0,,,film_lineage
Die weiße Hölle vom Piz Palü,1929,,,0,,,film_lineage
Das Mädchen Rosemarie,1958,,,0,,,film_lineage
Aus einem deutschen Leben,1977,,,0,,,film_lineage
Viktor und Viktoria,1933,,,0,,,film_lineage
Das Boot,1981,,,0,,,film_lineage
Jagdszenen aus Niederbayern,1968,,,0,,,film_lineage
Lebensläufe – Die Kinder von Golzow,1981,,,0,,,film_lineage
Berliner Ballade,1948,,,0,,,film_lineage
Die zweite Heimat – Chronik einer Jugend,1992,,,0,,,film_lineage
Körkarlen,1921,,,0,,,film_lineage
En kärlekshistoria,1970,,,0,,,film_lineage
Kvarteret Korpen,1963,,,0,,,film_lineage
Fucking Åmål,1998,,,0,,,film_lineage
Flickorna,1968,,,0,,,film_lineage
Flicka och hyacinter,1950,,,0,,,film_lineage
Här har du ditt liv,1966,,,0,,,film_lineage
Fanny och Alexander,1982,,,0,,,film_lineage
Smultronstället,1957,,,0,,,film_lineage
Mannen på taket,1976,,,0,,,film_lineage
Låt den rätte komma in,2008,,,0,,,film_lineage
Sånger från andra våningen,2000,,,0,,,film_lineage
Älskande par,1964,,,0,,,film_lineage
De ofrivilliga,2008,,,0,,,film_lineage
Äta sova dö,2012,,,0,,,film_lineage
Nattvardsgästerna,1963,,,0,,,film_lineage
Utvandrarna/Nybyggarna,1971,,,0,,,film_lineage
Ett anständigt liv,1979,,,0,,,film_lineage
Belleville Baby,2013,,,0,,,film_lineage
Sameblod,2016,,,0,,,film_lineage
Återträffen,2013,,,0,,,film_lineage
Ingeborg Holm,1913,,,0,,,film_lineage
Sommarnattens leende,1955,,,0,,,film_lineage
Aimless Bullet,1961,,,0,,,film_lineage
The Day a Pig Fell Into a Well,1996,,,0,,,film_lineage
Turning Point of the Youngsters,1934,,,0,,,film_lineage
Spring of Korean Peninsula,1941,,,0,,,film_lineage
The Widow,1955,,,0,,,film_lineage
Piagol,1955,,,0,,,film_lineage
A Water Mill,1966,,,0,,,film_lineage
Mist,1967,,,0,,,film_lineage
Homebound,1967,,,0,,,film_lineage
The General's Mustache,1968,,,0,,,film_lineage
Woman of Fire,1970,,,0,,,film_lineage
The Pollen of Flowers,1972,,,0,,,film_lineage
Yeong-ja's Heydays,1975,,,0,,,film_lineage
Ieoh Island,1977,,,0,,,film_lineage
A Woman After a Killer Butterfly,1978,,,0,,,film_lineage
"A Fine, Windy Day",1980,,,0,,,film_lineage
The Hut,1980,,,0,,,film_lineage
Mandala,1981,,,0,,,film_lineage
Declaration of Idiot,1983,,,0,,,film_lineage
Gilsotteum,1985,,,0,,,film_lineage
Deep Blue Night,1985,,,0,,,film_lineage
The Surrogate Woman,1986,,,0,,,film_lineage
Our Joyful Young Days,1987,,,0,,,film_lineage
Sanggye-Dong Olympic,1988,,,0,,,film_lineage
Chil-su and Man-su,1988,,,0,,,film_lineage
Gagman,1988,,,0,,,film_lineage
The Night before Strike,1990,,,0,,,film_lineage
The Road to the Race Track,1991,,,0,,,film_lineage
First Love,1993,,,0,,,film_lineage
The Murmuring,1995,,,0,,,film_lineage
The People in White,1995,,,0,,,film_lineage
A Petal,1996,,,0,,,film_lineage
The Contact,1997,,,0,,,film_lineage
No. 3,1997,,,0,,,film_lineage
The Power of Kangwon Province,1998,,,0,,,film_lineage
Memento Mori,1999,,,0,,,film_lineage
Peppermint Candy,1999,,,0,,,film_lineage
Shiri,1999,,,0,,,film_lineage
Die Bad,2000,,,0,,,film_lineage
Chunhyang,2000,,,0,,,film_lineage
The Foul King,2000,,,0,,,film_lineage
Waikiki Brothers,2001,,,0,,,film_lineage
Take Care of My Cat,2001,,,0,,,film_lineage
Sympathy for Mr. Vengeance,2002,,,0,,,film_lineage
Repatriation,2003,,,0,,,film_lineage
Lady Vengeance,2005,,,0,,,film_lineage
The President's Last Bang,2005,,,0,,,film_lineage
The King and the Clown,2005,,,0,,,film_lineage
Tazza: The High Rollers,2006,,,0,,,film_lineage
The Description of Bankruptcy,2006,,,0,,,film_lineage
Family Ties,2006,,,0,,,film_lineage
The Chaser,2007,,,0,,,film_lineage
Thirst,2009,,,0,,,film_lineage
Two Doors,2011,,,0,,,film_lineage
Jiseul,2012,,,0,,,film_lineage
A Girl at My Door,2014,,,0,,,film_lineage
The Wailing,2015,,,0,,,film_lineage
The Truth Beneath,2015,,,0,,,film_lineage
Dongju: The Portrait of a Poet,2015,,,0,,,film_lineage
The World of Us,2016,,,0,,,film_lineage
Train to Busan,2016,,,0,,,film_lineage
House of Hummingbird,2018,,,0,,,film_lineage
The Book of Fish,2019,,,0,,,film_lineage
Prince Yeonsan,1962,,,0,,,film_lineage
The Memorial Gate for Virtuous Women,1963,,,0,,,film_lineage
Kinship,1964,,,0,,,film_lineage
Deaf Sam-yong,1964,,,0,,,film_lineage
The Sea Village,1965,,,0,,,film_lineage
Coming Back,1967,,,0,,,film_lineage
Prince Daewon,1968,,,0,,,film_lineage
Patriotic Martyr An Jung-gun,1972,,,0,,,film_lineage
The General in Red Robes,1973,,,0,,,film_lineage
The Land,1974,,,0,,,film_lineage
Flame,1975,,,0,,,film_lineage
Mother,1976,,,0,,,film_lineage
Diary of Korean-Japanese War,1977,,,0,,,film_lineage
Police Story,1978,,,0,,,film_lineage
The Hidden Hero,1979,,,0,,,film_lineage
Son of Man,1980,,,0,,,film_lineage
Invited People,1981,,,0,,,film_lineage
Come Unto Down,1982,,,0,,,film_lineage
Mulleya Mulleya,1983,,,0,,,film_lineage
Adultery Tree,1984,,,0,,,film_lineage
The Mother,1985,,,0,,,film_lineage
Pillar of Mist,1986,,,0,,,film_lineage
Diary of King Yeonsan,1987,,,0,,,film_lineage
Come Come Come Upward,1989,,,0,,,film_lineage
All That Falls Has Wings,1990,,,0,,,film_lineage
Passion Portrait,1991,,,0,,,film_lineage
Fly High Run Far,1992,,,0,,,film_lineage
The Story of Two Women,1994,,,0,,,film_lineage
The Eternal Empire,1995,,,0,,,film_lineage
Henequen,1996,,,0,,,film_lineage
Spring in My Hometown,1998,,,0,,,film_lineage
Peppermint Candy,2000,,,0,,,film_lineage
The Way Home,2002,,,0,,,film_lineage
Marathon,2005,,,0,,,film_lineage
King and the Clown,2005,,,0,,,film_lineage
The Chaser,2008,,,0,,,film_lineage
The Divine Weapon,2008,,,0,,,film_lineage
The Front Line,2011,,,0,,,film_lineage
Masquerade,2012,,,0,,,film_lineage
The Face Reader,2013,,,0,,,film_lineage
The Admiral: Roaring Currents,2014,,,0,,,film_lineage
Ode to My Father,2014,,,0,,,film_lineage
Inside Men,2015,,,0,,,film_lineage
Concrete Utopia,2023,,,0,,,film_lineage
Late Autumn,1966,,,0,,,film_lineage
Children of the Firing Range,1967,,,0,,,film_lineage
"Spring, Spring",1969,,,0,,,film_lineage
Frozen Spring,1970,,,0,,,film_lineage
War and Humanity,1971,,,0,,,film_lineage
Gate of Women,1972,,,0,,,film_lineage
Special Investigation Unit: The Case of Bae Tae-ok,1973,,,0,,,film_lineage
The Executioner,1974,,,0,,,film_lineage
A Byegone Romance,1975,,,0,,,film_lineage
Concentration of Attention,1976,,,0,,,film_lineage
A Splendid Outing,1977,,,0,,,film_lineage
The Last Words from a Comrade in Arms,1978,,,0,,,film_lineage
Man-suk Run!,1979,,,0,,,film_lineage
Come Unto Down,1981,,,0,,,film_lineage
Village in the Mist,1982,,,0,,,film_lineage
Gilsoddeum,1985,,,0,,,film_lineage
Moonlight Hunter,1987,,,0,,,film_lineage
Adada,1987,,,0,,,film_lineage
Seoul Rainbow,1989,,,0,,,film_lineage
The Lovers of Woomook-baemi,1990,,,0,,,film_lineage
Silver Stallion,1991,,,0,,,film_lineage
Stairways of Heaven,1991,,,0,,,film_lineage
Two Cops,1993,,,0,,,film_lineage
Seopyeonje,1993,,,0,,,film_lineage
Life and Death of the Hollywood Kid,1994,,,0,,,film_lineage
Farewell My Darling,1996,,,0,,,film_lineage
The Spy,1999,,,0,,,film_lineage
Libera Me,2000,,,0,,,film_lineage
Oasis,2002,,,0,,,film_lineage
Taegukgi: The Brotherhood of War,2004,,,0,,,film_lineage
Blood Rain,2005,,,0,,,film_lineage
Forever the Moment,2007,,,0,,,film_lineage
Viva! Love,2008,,,0,,,film_lineage
Take Off,2009,,,0,,,film_lineage
The Man from Nowhere,2010,,,0,,,film_lineage
Unbowed,2011,,,0,,,film_lineage
The Attorney,2013,,,0,,,film_lineage
Revivre,2014,,,0,,,film_lineage
The Wailing,2016,,,0,,,film_lineage
The Fortress,2017,,,0,,,film_lineage
The Spy Gone North,2018,,,0,,,film_lineage
Samjin Company English Class,2020,,,0,,,film_lineage
The Night Owl,2022,,,0,,,film_lineage
12.12: The Day,2023,,,0,,,film_lineage
Harbin,2024,,,0,,,film_lineage
Shyamchi Aai,1952,,,0,,,film_lineage
Mirza Ghalib,1953,,,0,,,film_lineage
Pather Panchali,1954,,,0,,,film_lineage
Kabuliwala,1955,,,0,,,film_lineage
Do Aankhen Barah Haath,1956,,,0,,,film_lineage
Sagar Sangamey,1957,,,0,,,film_lineage
Apur Sansar,1958,,,0,,,film_lineage
Anuradha,1959,,,0,,,film_lineage
Bhagini Nivedita,1960,,,0,,,film_lineage
Dada Thakur,1961,,,0,,,film_lineage
Shehar Aur Sapna,1962,,,0,,,film_lineage
Charulata,1963,,,0,,,film_lineage
Chemmeen,1964,,,0,,,film_lineage
Teesri Kasam,1965,,,0,,,film_lineage
Hatey Bazarey,1966,,,0,,,film_lineage
Goopy Gyne Bagha Byne,1967,,,0,,,film_lineage
Bhuvan Shome,1968,,,0,,,film_lineage
Samskara,1969,,,0,,,film_lineage
Seemabaddha,1970,,,0,,,film_lineage
Swayamvaram,1971,,,0,,,film_lineage
Nirmalyam,1972,,,0,,,film_lineage
Chorus,1973,,,0,,,film_lineage
Chomana Dudi,1974,,,0,,,film_lineage
Mrigayaa,1975,,,0,,,film_lineage
Ghatashraddha,1976,,,0,,,film_lineage
Shodh,1978,,,0,,,film_lineage
Akaler Shandhaney,1979,,,0,,,film_lineage
Dakhal,1980,,,0,,,film_lineage
Chokh,1981,,,0,,,film_lineage
Adi Shankaracharya,1982,,,0,,,film_lineage
Damul,1983,,,0,,,film_lineage
Chidambaram,1984,,,0,,,film_lineage
Tabarana Kathe,1985,,,0,,,film_lineage
Halodhia Choraye Baodhan Khai,1986,,,0,,,film_lineage
Piravi,1987,,,0,,,film_lineage
Bagh Bahadur,1988,,,0,,,film_lineage
Marupakkam,1989,,,0,,,film_lineage
Agantuk,1990,,,0,,,film_lineage
Bhagavad Gita,1991,,,0,,,film_lineage
Charachar,1992,,,0,,,film_lineage
Unishe April,1993,,,0,,,film_lineage
Kathapurushan,1994,,,0,,,film_lineage
Lal Darja,1995,,,0,,,film_lineage
Thaayi Saheba,1996,,,0,,,film_lineage
Samar,1997,,,0,,,film_lineage
Vanaprastham,1998,,,0,,,film_lineage
Shantham,1999,,,0,,,film_lineage
Dweepa,2000,,,0,,,film_lineage
Mondo Meyer Upakhyan,2001,,,0,,,film_lineage
Shwaas,2002,,,0,,,film_lineage
Page 3,2003,,,0,,,film_lineage
Kaalpurush,2004,,,0,,,film_lineage
Pulijanmam,2005,,,0,,,film_lineage
Kanchivaram,2006,,,0,,,film_lineage
Antaheen,2007,,,0,,,film_lineage
Kutty Srank,2008,,,0,,,film_lineage
Adaminte Makan Abu,2009,,,0,,,film_lineage
Deool,2010,,,0,,,film_lineage
Byari,2010,,,0,,,film_lineage
Paan Singh Tomar,2011,,,0,,,film_lineage
Ship of Theseus,2012,,,0,,,film_lineage
Court,2013,,,0,,,film_lineage
Baahubali: The Beginning,2014,,,0,,,film_lineage
Kaasav,2015,,,0,,,film_lineage
Village Rockstars,2016,,,0,,,film_lineage
Hellaro,2017,,,0,,,film_lineage
Marakkar: Lion of the Arabian Sea,2018,,,0,,,film_lineage
Soorarai Pottru,2019,,,0,,,film_lineage
Rocketry: The Nambi Effect,2020,,,0,,,film_lineage
Aattam,2021,,,0,,,film_lineage
12th Fail,2022,,,0,,,film_lineage
Do Bigha Zamin,1953,,,0,,,film_lineage
Boot Polish,1954,,,0,,,film_lineage
Jagriti,1955,,,0,,,film_lineage
Jhanak Jhanak Payal Baaje,1956,,,0,,,film_lineage
Mother India,1957,,,0,,,film_lineage
Madhumati,1958,,,0,,,film_lineage
Sujata,1959,,,0,,,film_lineage
Mughal-e-Azam,1960,,,0,,,film_lineage
Jis Desh Men Ganga Behti Hai,1961,,,0,,,film_lineage
Sahib Bibi Aur Ghulam,1962,,,0,,,film_lineage
Bandini,1963,,,0,,,film_lineage
Dosti,1964,,,0,,,film_lineage
Himalaya Ki God Mein,1965,,,0,,,film_lineage
Guide,1966,,,0,,,film_lineage
Upkar,1967,,,0,,,film_lineage
Brahmachari,1968,,,0,,,film_lineage
Aradhana,1969,,,0,,,film_lineage
Khilona,1970,,,0,,,film_lineage
Anand,1971,,,0,,,film_lineage
Be-Imaan,1972,,,0,,,film_lineage
Anuraag,1973,,,0,,,film_lineage
Rajnigandha,1974,,,0,,,film_lineage
Deewaar,1975,,,0,,,film_lineage
Mausam,1976,,,0,,,film_lineage
Bhumika,1977,,,0,,,film_lineage
Main Tulsi Tere Aangan Ki,1978,,,0,,,film_lineage
Junoon,1979,,,0,,,film_lineage
Khubsoorat,1980,,,0,,,film_lineage
Kalyug,1981,,,0,,,film_lineage
Shakti,1982,,,0,,,film_lineage
Ardh Satya,1983,,,0,,,film_lineage
Sparsh,1984,,,0,,,film_lineage
Ram Teri Ganga Maili,1985,,,0,,,film_lineage
Qayamat Se Qayamat Tak,1988,,,0,,,film_lineage
Maine Pyar Kiya,1989,,,0,,,film_lineage
Ghayal,1990,,,0,,,film_lineage
Lamhe,1991,,,0,,,film_lineage
Jo Jeeta Wohi Sikandar,1992,,,0,,,film_lineage
Hum Hain Rahi Pyar Ke,1993,,,0,,,film_lineage
Hum Aapke Hain Koun..!,1994,,,0,,,film_lineage
Dilwale Dulhania Le Jayenge,1995,,,0,,,film_lineage
Raja Hindustani,1996,,,0,,,film_lineage
