Rank,Wave,Bucket,Film_Title,Film_Director_Name,Year,Country,Demand,Density,Priority
665,3,Contemporary curation,Of Gods and Men,Xavier Beauvois,2010,France,3,4,13
666,3,Popular/genre depth,The Yellow Sea,Na Hong-jin,2010,South Korea,3,4,13
667,3,Contemporary curation,Winter's Bone,Debra Granik,2010,USA,3,4,13
668,3,Contemporary curation,Che: Part One,Steven Soderbergh,2008,USA,3,4,13
669,3,Contemporary curation,Medicine for Melancholy,Barry Jenkins,2008,USA,3,4,13
670,3,Contemporary curation,Milk,Gus Van Sant,2008,USA,3,4,13
671,3,Contemporary curation,Three Monkeys,Nuri Bilge Ceylan,2008,Turkey,3,4,13
672,3,Contemporary curation,Eastern Promises,David Cronenberg,2007,Canada,3,4,13
673,3,Contemporary curation,I'm Not There,Todd Haynes,2007,USA,3,4,13
674,3,Contemporary curation,Paranoid Park,Gus Van Sant,2007,USA,3,4,13
675,3,Contemporary curation,Water Lilies,Celine Sciamma,2007,France,3,4,13
676,3,Contemporary curation,A Scanner Darkly,Richard Linklater,2006,USA,3,4,13
677,3,Canon backfill,Fireworks Wednesday,Asghar Farhadi,2006,Iran,3,4,13
678,3,Contemporary curation,Marie Antoinette,Sofia Coppola,2006,USA,3,4,13
679,3,Contemporary curation,The Fountain,Darren Aronofsky,2006,USA,3,4,13
680,3,Canon backfill,Lady Vengeance,Park Chan-wook,2005,South Korea,3,4,13
681,3,Contemporary curation,Munich,Steven Spielberg,2005,USA,3,4,13
682,3,Contemporary curation,The Beat That My Heart Skipped,Jacques Audiard,2005,France,3,4,13
683,3,Contemporary curation,The Squid and the Whale,Noah Baumbach,2005,USA,3,4,13
684,3,Contemporary curation,21 Grams,Alejandro Gonzalez Inarritu,2003,Mexico,3,4,13
685,3,Canon backfill,Sympathy for Mr. Vengeance,Park Chan-wook,2002,South Korea,3,4,13
686,3,Contemporary curation,Read My Lips,Jacques Audiard,2001,France,3,4,13
687,3,Contemporary curation,The Devil's Backbone,Guillermo del Toro,2001,Spain,3,4,13
688,3,Contemporary curation,The Man Who Wasn't There,Joel Coen,2001,USA,3,4,13
689,3,Contemporary curation,Waking Life,Richard Linklater,2001,USA,3,4,13
690,3,Contemporary curation,Under the Sand,Francois Ozon,2000,France,3,4,13
691,3,Contemporary curation,Ghost Dog: The Way of the Samurai,Jim Jarmusch,1999,USA,3,4,13
692,3,Contemporary curation,The Limey,Steven Soderbergh,1999,USA,3,4,13
693,3,Contemporary curation,The Straight Story,David Lynch,1999,USA,3,4,13
694,3,Contemporary curation,eXistenZ,David Cronenberg,1999,Canada,3,4,13
695,3,Contemporary curation,Pi,Darren Aronofsky,1998,USA,3,4,13
696,3,Contemporary curation,Velvet Goldmine,Todd Haynes,1998,USA,3,4,13
697,3,Contemporary curation,Bottle Rocket,Wes Anderson,1996,USA,3,4,13
698,3,Popular/genre depth,Pom Poko,Isao Takahata,1994,Japan,3,4,13
699,3,Contemporary curation,Cronos,Guillermo del Toro,1993,Mexico,3,4,13
700,3,Contemporary curation,Twin Peaks: Fire Walk with Me,David Lynch,1992,USA,3,4,13
701,3,Contemporary curation,Jungle Fever,Spike Lee,1991,USA,3,4,13
702,3,Contemporary curation,Night on Earth,Jim Jarmusch,1991,USA,3,4,13
703,3,Contemporary curation,Mo' Better Blues,Spike Lee,1990,USA,3,4,13
704,3,Contemporary curation,Slacker,Richard Linklater,1990,USA,3,4,13
705,3,Contemporary curation,Wild at Heart,David Lynch,1990,USA,3,4,13
706,3,Contemporary curation,Drugstore Cowboy,Gus Van Sant,1989,USA,3,4,13
707,3,Contemporary curation,Mystery Train,Jim Jarmusch,1989,USA,3,4,13
708,3,Contemporary curation,"Sex, Lies, and Videotape",Steven Soderbergh,1989,USA,3,4,13
709,3,Contemporary curation,Empire of the Sun,Steven Spielberg,1987,USA,3,4,13
710,3,Popular/genre depth,A Better Tomorrow,John Woo,1986,Hong Kong,3,4,13
711,3,Contemporary curation,Down by Law,Jim Jarmusch,1986,USA,3,4,13
712,3,Contemporary curation,She's Gotta Have It,Spike Lee,1986,USA,3,4,13
713,3,Contemporary curation,The Color Purple,Steven Spielberg,1985,USA,3,4,13
714,3,Contemporary curation,"I, Tonya",Craig Gillespie,2017,USA,4,3,13
715,3,Contemporary curation,The Disaster Artist,James Franco,2017,USA,4,3,13
716,3,Popular/genre depth,Wind River,Taylor Sheridan,2017,USA,4,3,13
717,3,Popular/genre depth,Hacksaw Ridge,Mel Gibson,2016,USA,4,3,13
718,3,Contemporary curation,Shin Godzilla,Hideaki Anno,2016,Japan,4,3,13
719,3,Popular/genre depth,The Conjuring 2,James Wan,2016,USA,4,3,13
720,3,Popular/genre depth,Creed,Ryan Coogler,2015,USA,4,3,13
721,3,Popular/genre depth,The Boy and the Beast,Mamoru Hosoda,2015,Japan,4,3,13
722,3,Popular/genre depth,Veteran,Ryoo Seung-wan,2015,South Korea,4,3,13
723,3,Popular/genre depth,American Sniper,Clint Eastwood,2014,USA,4,3,13
724,3,Popular/genre depth,Edge of Tomorrow,Doug Liman,2014,USA,4,3,13
725,3,Popular/genre depth,PK,Rajkumar Hirani,2014,India,4,3,13
726,3,Popular/genre depth,The Imitation Game,Morten Tyldum,2014,UK,4,3,13
727,3,Popular/genre depth,Iron Man 3,Shane Black,2013,USA,4,3,13
728,3,Popular/genre depth,21 Jump Street,Phil Lord,2012,USA,4,3,13
729,3,Popular/genre depth,Argo,Ben Affleck,2012,USA,4,3,13
730,3,Popular/genre depth,Sinister,Scott Derrickson,2012,USA,4,3,13
731,3,Popular/genre depth,The Perks of Being a Wallflower,Stephen Chbosky,2012,USA,4,3,13
732,3,Popular/genre depth,From Up on Poppy Hill,Goro Miyazaki,2011,Japan,4,3,13
733,3,Popular/genre depth,Source Code,Duncan Jones,2011,USA,4,3,13
734,3,Popular/genre depth,Harry Potter and the Deathly Hallows: Part 1,David Yates,2010,UK,4,3,13
735,3,Popular/genre depth,Insidious,James Wan,2010,USA,4,3,13
736,3,Popular/genre depth,The King's Speech,Tom Hooper,2010,UK,4,3,13
737,3,Popular/genre depth,The Man from Nowhere,Lee Jeong-beom,2010,South Korea,4,3,13
738,3,Popular/genre depth,The Secret World of Arrietty,Hiromasa Yonebayashi,2010,Japan,4,3,13
739,3,Popular/genre depth,The Town,Ben Affleck,2010,USA,4,3,13
740,3,Contemporary curation,Burn After Reading,Joel Coen,2008,USA,4,3,13
741,3,Contemporary curation,The Curious Case of Benjamin Button,David Fincher,2008,USA,4,3,13
742,3,Contemporary curation,Inside Man,Spike Lee,2006,USA,4,3,13
743,3,Contemporary curation,War of the Worlds,Steven Spielberg,2005,USA,4,3,13
744,3,Contemporary curation,The Aviator,Martin Scorsese,2004,USA,4,3,13
745,3,Contemporary curation,Erin Brockovich,Steven Soderbergh,2000,USA,4,3,13
746,3,Popular/genre depth,Alien 3,David Fincher,1992,USA,4,3,13
747,3,Contemporary curation,April,Dea Kulumbegashvili,2024,Georgia,2,5,12
748,3,Contemporary curation,Inside the Yellow Cocoon Shell,Pham Thien An,2023,Vietnam,2,5,12
749,3,Contemporary curation,The Disciple,Chaitanya Tamhane,2020,India,2,5,12
750,3,Canon backfill,Vitalina Varela,Pedro Costa,2019,Portugal,2,5,12
751,4,Contemporary curation,The Rider,Chloe Zhao,2017,USA,2,5,12
752,4,Contemporary curation,Certain Women,Kelly Reichardt,2016,USA,2,5,12
753,4,Canon backfill,"Right Now, Wrong Then",Hong Sang-soo,2015,South Korea,2,5,12
754,4,Canon backfill,The Club,Pablo Larrain,2015,Chile,2,5,12
755,4,Contemporary curation,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Turkey,2,5,12
756,4,Canon backfill,The Day He Arrives,Hong Sang-soo,2011,South Korea,2,5,12
757,4,Contemporary curation,Meek's Cutoff,Kelly Reichardt,2010,USA,2,5,12
758,4,Contemporary curation,I Killed My Mother,Xavier Dolan,2009,Canada,3,4,12
759,4,Canon backfill,Departures,Yojiro Takita,2008,Japan,3,4,12
760,4,Contemporary curation,The Class,Laurent Cantet,2008,France,3,4,12
761,4,Contemporary curation,Two Lovers,James Gray,2008,USA,3,4,12
762,4,Popular/genre depth,Gone Baby Gone,Ben Affleck,2007,USA,3,4,12
763,4,Popular/genre depth,Michael Clayton,Tony Gilroy,2007,USA,3,4,12
764,4,Popular/genre depth,Letters from Iwo Jima,Clint Eastwood,2006,USA,3,4,12
765,4,Contemporary curation,The Wind That Shakes the Barley,Ken Loach,2006,UK,3,4,12
766,4,Popular/genre depth,Ghost in the Shell 2: Innocence,Mamoru Oshii,2004,Japan,3,4,12
767,4,Popular/genre depth,Capturing the Friedmans,Andrew Jarecki,2003,USA,3,4,12
768,4,Canon backfill,"Spring, Summer, Fall, Winter... and Spring",Kim Ki-duk,2003,South Korea,3,4,12
769,4,Canon backfill,The Return,Andrey Zvyagintsev,2003,Russia,3,4,12
770,4,Popular/genre depth,Metropolis,Rintaro,2001,Japan,3,4,12
771,4,Popular/genre depth,American Movie,Chris Smith,1999,USA,3,4,12
772,4,Popular/genre depth,Jin-Roh: The Wolf Brigade,Hiroyuki Okiura,1999,Japan,3,4,12
773,4,Popular/genre depth,Dil Se,Mani Ratnam,1998,India,3,4,12
774,4,Canon backfill,Hana-bi,Takeshi Kitano,1997,Japan,3,4,12
775,4,Contemporary curation,Irma Vep,Olivier Assayas,1996,France,3,4,12
776,4,Canon backfill,Underground,Emir Kusturica,1995,Yugoslavia,3,4,12
777,4,Popular/genre depth,Crumb,Terry Zwigoff,1994,USA,3,4,12
778,4,Popular/genre depth,Once Upon a Time in China,Tsui Hark,1991,Hong Kong,3,4,12
779,4,Canon backfill,The Vanishing,George Sluizer,1988,Netherlands,3,4,12
780,4,Popular/genre depth,Withnail and I,Bruce Robinson,1987,UK,3,4,12
781,4,Popular/genre depth,Re-Animator,Stuart Gordon,1985,USA,3,4,12
782,4,Canon backfill,Tampopo,Juzo Itami,1985,Japan,3,4,12
783,4,Popular/genre depth,Repo Man,Alex Cox,1984,USA,3,4,12
784,4,Canon backfill,Merry Christmas Mr. Lawrence,Nagisa Oshima,1983,Japan,3,4,12
785,4,Canon backfill,House,Nobuhiko Obayashi,1977,Japan,3,4,12
786,4,Popular/genre depth,Gimme Shelter,Albert Maysles,1970,USA,3,4,12
787,4,Popular/genre depth,Dont Look Back,D.A. Pennebaker,1967,USA,3,4,12
788,4,Canon backfill,Shock Corridor,Samuel Fuller,1963,USA,3,4,12
789,4,Canon backfill,The Man Who Shot Liberty Valance,John Ford,1962,USA,3,4,12
790,4,Canon backfill,Imitation of Life,Douglas Sirk,1959,USA,3,4,12
791,4,Canon backfill,Rio Bravo,Howard Hawks,1959,USA,3,4,12
792,4,Canon backfill,Giant,George Stevens,1956,USA,3,4,12
793,4,Canon backfill,Written on the Wind,Douglas Sirk,1956,USA,3,4,12
794,4,Canon backfill,All That Heaven Allows,Douglas Sirk,1955,USA,3,4,12
795,4,Canon backfill,East of Eden,Elia Kazan,1955,USA,3,4,12
796,4,Canon backfill,Kiss Me Deadly,Robert Aldrich,1955,USA,3,4,12
797,4,Canon backfill,Johnny Guitar,Nicholas Ray,1954,USA,3,4,12
798,4,Canon backfill,Pickup on South Street,Samuel Fuller,1953,USA,3,4,12
799,4,Canon backfill,The Band Wagon,Vincente Minnelli,1953,USA,3,4,12
800,4,Canon backfill,The Big Heat,Fritz Lang,1953,USA,3,4,12
801,4,Canon backfill,A Place in the Sun,George Stevens,1951,USA,3,4,12
802,4,Canon backfill,An American in Paris,Vincente Minnelli,1951,USA,3,4,12
803,4,Canon backfill,The Lavender Hill Mob,Charles Crichton,1951,UK,3,4,12
804,4,Canon backfill,The Man in the White Suit,Alexander Mackendrick,1951,UK,3,4,12
805,4,Canon backfill,Gun Crazy,Joseph H. Lewis,1950,USA,3,4,12
806,4,Canon backfill,In a Lonely Place,Nicholas Ray,1950,USA,3,4,12
807,4,Canon backfill,The Asphalt Jungle,John Huston,1950,USA,3,4,12
808,4,Canon backfill,Kind Hearts and Coronets,Robert Hamer,1949,UK,3,4,12
809,4,Canon backfill,White Heat,Raoul Walsh,1949,USA,3,4,12
810,4,Canon backfill,Letter from an Unknown Woman,Max Ophuls,1948,USA,3,4,12
811,4,Canon backfill,Red River,Howard Hawks,1948,USA,3,4,12
812,4,Canon backfill,The Treasure of the Sierra Madre,John Huston,1948,USA,3,4,12
813,4,Canon backfill,Gilda,Charles Vidor,1946,USA,3,4,12
814,4,Canon backfill,My Darling Clementine,John Ford,1946,USA,3,4,12
815,4,Canon backfill,The Best Years of Our Lives,William Wyler,1946,USA,3,4,12
816,4,Canon backfill,The Big Sleep,Howard Hawks,1946,USA,3,4,12
817,4,Canon backfill,The Killers,Robert Siodmak,1946,USA,3,4,12
818,4,Canon backfill,Detour,Edgar G. Ulmer,1945,USA,3,4,12
819,4,Canon backfill,Scarlet Street,Fritz Lang,1945,USA,3,4,12
820,4,Canon backfill,Laura,Otto Preminger,1944,USA,3,4,12
821,4,Canon backfill,Meet Me in St. Louis,Vincente Minnelli,1944,USA,3,4,12
822,4,Canon backfill,To Be or Not to Be,Ernst Lubitsch,1942,USA,3,4,12
823,4,Canon backfill,How Green Was My Valley,John Ford,1941,USA,3,4,12
824,4,Canon backfill,Sullivan's Travels,Preston Sturges,1941,USA,3,4,12
825,4,Canon backfill,The Lady Eve,Preston Sturges,1941,USA,3,4,12
826,4,Canon backfill,His Girl Friday,Howard Hawks,1940,USA,3,4,12
827,4,Canon backfill,The Grapes of Wrath,John Ford,1940,USA,3,4,12
828,4,Canon backfill,The Philadelphia Story,George Cukor,1940,USA,3,4,12
829,4,Canon backfill,The Shop Around the Corner,Ernst Lubitsch,1940,USA,3,4,12
830,4,Canon backfill,Mr. Smith Goes to Washington,Frank Capra,1939,USA,3,4,12
831,4,Canon backfill,Ninotchka,Ernst Lubitsch,1939,USA,3,4,12
832,4,Canon backfill,Top Hat,Mark Sandrich,1935,USA,3,4,12
833,4,Canon backfill,It Happened One Night,Frank Capra,1934,USA,3,4,12
834,4,Canon backfill,Trouble in Paradise,Ernst Lubitsch,1932,USA,3,4,12
835,4,Contemporary curation,Highest 2 Lowest,Spike Lee,2025,USA,3,3,12
836,4,Contemporary curation,Jay Kelly,Noah Baumbach,2025,USA,3,3,12
837,4,Contemporary curation,Maria,Pablo Larrain,2024,Chile,3,3,12
838,4,Contemporary curation,Presence,Steven Soderbergh,2024,USA,3,3,12
839,4,Contemporary curation,Hit Man,Richard Linklater,2023,USA,3,3,12
840,4,Contemporary curation,Priscilla,Sofia Coppola,2023,USA,3,3,12
841,4,Contemporary curation,White Noise,Noah Baumbach,2022,USA,3,3,12
842,4,Contemporary curation,"Paris, 13th District",Jacques Audiard,2021,France,3,3,12
843,4,Contemporary curation,West Side Story,Steven Spielberg,2021,USA,3,3,12
844,4,Contemporary curation,Dark Waters,Todd Haynes,2019,USA,3,3,12
845,4,Popular/genre depth,Summer Wars,Mamoru Hosoda,2009,Japan,4,3,12
846,4,Popular/genre depth,Pineapple Express,David Gordon Green,2008,USA,4,3,12
847,4,Popular/genre depth,Step Brothers,Adam McKay,2008,USA,4,3,12
848,4,Popular/genre depth,Tropic Thunder,Ben Stiller,2008,USA,4,3,12
849,4,Popular/genre depth,Knocked Up,Judd Apatow,2007,USA,4,3,12
850,4,Popular/genre depth,Idiocracy,Mike Judge,2006,USA,4,3,12
851,4,Popular/genre depth,Mission: Impossible III,J.J. Abrams,2006,USA,4,3,12
852,4,Popular/genre depth,Fahrenheit 9/11,Michael Moore,2004,USA,4,3,12
853,4,Popular/genre depth,Ong-Bak,Prachya Pinkaew,2003,Thailand,4,3,12
854,4,Popular/genre depth,The Matrix Reloaded,Lana Wachowski,2003,USA,4,3,12
855,4,Popular/genre depth,Bowling for Columbine,Michael Moore,2002,USA,4,3,12
856,4,Popular/genre depth,Chicago,Rob Marshall,2002,USA,4,3,12
857,4,Popular/genre depth,Devdas,Sanjay Leela Bhansali,2002,India,4,3,12
858,4,Popular/genre depth,The Cat Returns,Hiroyuki Morita,2002,Japan,4,3,12
859,4,Popular/genre depth,Moulin Rouge!,Baz Luhrmann,2001,USA,4,3,12
860,4,Popular/genre depth,Shaolin Soccer,Stephen Chow,2001,Hong Kong,4,3,12
861,4,Popular/genre depth,Ocean Waves,Tomomi Mochizuki,1993,Japan,4,3,12
862,4,Popular/genre depth,Mad Max Beyond Thunderdome,George Miller,1985,Australia,4,3,12
863,4,Popular/genre depth,Poltergeist,Tobe Hooper,1982,USA,4,3,12
864,4,Popular/genre depth,Friday the 13th,Sean S. Cunningham,1980,USA,4,3,12
865,4,Popular/genre depth,The Rocky Horror Picture Show,Jim Sharman,1975,UK,4,3,12
866,4,Popular/genre depth,Goldfinger,Guy Hamilton,1964,UK,4,3,12
867,4,Popular/genre depth,Dr. No,Terence Young,1962,UK,4,3,12
868,4,Canon backfill,Zama,Lucrecia Martel,2017,Argentina,2,5,11
869,4,Contemporary curation,Court,Chaitanya Tamhane,2014,India,2,5,11
870,4,Contemporary curation,35 Shots of Rum,Claire Denis,2008,France,2,5,11
871,4,Contemporary curation,Wendy and Lucy,Kelly Reichardt,2008,USA,2,5,11
872,4,Contemporary curation,Climates,Nuri Bilge Ceylan,2006,Turkey,2,5,11
873,4,Contemporary curation,Distant,Nuri Bilge Ceylan,2002,Turkey,2,5,11
874,4,Contemporary curation,The Son,Jean-Pierre Dardenne,2002,Belgium,2,5,11
875,4,Contemporary curation,La Promesse,Jean-Pierre Dardenne,1996,Belgium,2,5,11
876,4,Contemporary curation,Caught by the Tides,Jia Zhangke,2024,China,2,4,11
877,4,Contemporary curation,After the Hunt,Luca Guadagnino,2025,USA,3,3,11
878,4,Contemporary curation,Hedda,Nia DaCosta,2025,USA,3,3,11
879,4,Contemporary curation,Roofman,Derek Cianfrance,2025,USA,3,3,11
880,4,Contemporary curation,The Ballad of a Small Player,Edward Berger,2025,UK,3,3,11
881,4,Contemporary curation,Babygirl,Halina Reijn,2024,USA,3,3,11
882,4,Popular/genre depth,Cuckoo,Tilman Singer,2024,Germany,3,3,11
883,4,Contemporary curation,Friendship,Andrew DeYoung,2024,USA,3,3,11
884,4,Popular/genre depth,Immaculate,Michael Mohan,2024,USA,3,3,11
885,4,Popular/genre depth,In a Violent Nature,Chris Nash,2024,Canada,3,3,11
886,4,Contemporary curation,Megalopolis,Francis Ford Coppola,2024,USA,3,3,11
887,4,Contemporary curation,September 5,Tim Fehlbaum,2024,Germany,3,3,11
888,4,Contemporary curation,The Order,Justin Kurzel,2024,USA,3,3,11
889,4,Popular/genre depth,Concrete Utopia,Um Tae-hwa,2023,South Korea,3,3,11
890,4,Contemporary curation,Origin,Ava DuVernay,2023,USA,3,3,11
891,4,Contemporary curation,The Promised Land,Nikolaj Arcel,2023,Denmark,3,3,11
892,4,Contemporary curation,Blonde,Andrew Dominik,2022,USA,3,3,11
893,4,Contemporary curation,Bodies Bodies Bodies,Halina Reijn,2022,USA,3,3,11
894,4,Popular/genre depth,Malignant,James Wan,2021,USA,3,3,11
895,4,Popular/genre depth,The Medium,Banjong Pisanthanakun,2021,Thailand,3,3,11
896,4,Contemporary curation,Ammonite,Francis Lee,2020,UK,3,3,11
897,4,Popular/genre depth,Boys State,Amanda McBaine,2020,USA,3,3,11
898,4,Contemporary curation,Honey Boy,Alma Har'el,2019,USA,3,3,11
899,4,Contemporary curation,I'm No Longer Here,Fernando Frias,2019,Mexico,3,3,11
900,4,Contemporary curation,La Llorona,Jayro Bustamante,2019,Guatemala,3,3,11
901,4,Popular/genre depth,"The Gangster, the Cop, the Devil",Lee Won-tae,2019,South Korea,3,3,11
902,4,Contemporary curation,The Two Popes,Fernando Meirelles,2019,UK,3,3,11
903,4,Popular/genre depth,Gonjiam: Haunted Asylum,Jung Bum-shik,2018,South Korea,3,3,11
904,4,Popular/genre depth,The Witch: Part 1,Park Hoon-jung,2018,South Korea,3,3,11
905,4,Contemporary curation,Vice,Adam McKay,2018,USA,3,3,11
906,4,Contemporary curation,The Beguiled,Sofia Coppola,2017,USA,3,3,11
907,4,Contemporary curation,The Post,Steven Spielberg,2017,USA,3,3,11
908,4,Contemporary curation,Frantz,Francois Ozon,2016,France,3,3,11
909,4,Contemporary curation,Bridge of Spies,Steven Spielberg,2015,USA,3,3,11
910,4,Contemporary curation,Crimson Peak,Guillermo del Toro,2015,USA,3,3,11
911,4,Contemporary curation,While We're Young,Noah Baumbach,2014,USA,3,3,11
912,4,Contemporary curation,The Bling Ring,Sofia Coppola,2013,USA,3,3,11
913,4,Contemporary curation,Magic Mike,Steven Soderbergh,2012,USA,3,3,11
914,4,Contemporary curation,Hugo,Martin Scorsese,2011,USA,3,3,11
915,4,Contemporary curation,Somewhere,Sofia Coppola,2010,USA,3,3,11
916,4,Popular/genre depth,Doctor Strange,Scott Derrickson,2016,USA,5,2,11
917,4,Popular/genre depth,Angel's Egg,Mamoru Oshii,1985,Japan,2,5,10
918,4,Popular/genre depth,Harlan County USA,Barbara Kopple,1976,USA,2,5,10
919,4,Popular/genre depth,The Sorrow and the Pity,Marcel Ophuls,1969,France,2,5,10
920,4,Popular/genre depth,Titicut Follies,Frederick Wiseman,1967,USA,2,5,10
921,4,Popular/genre depth,The Up Series,Michael Apted,1964,UK,2,5,10
922,4,Popular/genre depth,Chronicle of a Summer,Jean Rouch,1961,France,2,5,10
923,4,Contemporary curation,Kontinental 25,Radu Jude,2025,Romania,2,4,10
924,4,Contemporary curation,Resurrection,Bi Gan,2025,China,2,4,10
925,4,Contemporary curation,Black Dog,Guan Hu,2024,China,2,4,10
926,4,Contemporary curation,Grand Tour,Miguel Gomes,2024,Portugal,2,4,10
927,4,Contemporary curation,On Becoming a Guinea Fowl,Rungano Nyoni,2024,Zambia,2,4,10
928,4,Contemporary curation,Sujo,Astrid Rondero,2024,Mexico,2,4,10
929,4,Contemporary curation,Universal Language,Matthew Rankin,2024,Canada,2,4,10
930,4,Contemporary curation,Vermiglio,Maura Delpero,2024,Italy,2,4,10
931,4,Contemporary curation,Earth Mama,Savanah Leaf,2023,USA,2,4,10
932,4,Contemporary curation,Green Border,Agnieszka Holland,2023,Poland,2,4,10
933,4,Contemporary curation,The Eternal Memory,Maite Alberdi,2023,Chile,2,4,10
934,4,Contemporary curation,R.M.N.,Cristian Mungiu,2022,Romania,2,4,10
935,4,Contemporary curation,Ahed's Knee,Nadav Lapid,2021,Israel,2,4,10
936,4,Contemporary curation,Nitram,Justin Kurzel,2021,Australia,2,4,10
937,4,Contemporary curation,Prayers for the Stolen,Tatiana Huezo,2021,Mexico,2,4,10
938,4,Contemporary curation,The Souvenir Part II,Joanna Hogg,2021,UK,2,4,10
939,4,Contemporary curation,Beginning,Dea Kulumbegashvili,2020,Georgia,2,4,10
940,4,Contemporary curation,Shirley,Josephine Decker,2020,USA,2,4,10
941,4,Contemporary curation,Jallikattu,Lijo Jose Pellissery,2019,India,2,4,10
942,4,Contemporary curation,Martin Eden,Pietro Marcello,2019,Italy,2,4,10
943,4,Contemporary curation,The Painted Bird,Vaclav Marhoul,2019,Czechia,2,4,10
944,4,Contemporary curation,House of Hummingbird,Kim Bora,2018,South Korea,2,4,10
945,4,Contemporary curation,Rojo,Benjamin Naishtat,2018,Argentina,2,4,10
946,4,Contemporary curation,Beauty and the Dogs,Kaouther Ben Hania,2017,Tunisia,2,4,10
947,4,Popular/genre depth,Gerald's Game,Mike Flanagan,2017,USA,3,3,10
948,4,Contemporary curation,Tigers Are Not Afraid,Issa Lopez,2017,Mexico,3,3,10
949,4,Contemporary curation,Colossal,Nacho Vigalondo,2016,Spain,3,3,10
950,4,Contemporary curation,Divines,Houda Benyamina,2016,France,3,3,10
951,4,Popular/genre depth,The Attorney,Yang Woo-suk,2013,South Korea,3,3,10
952,4,Popular/genre depth,The Spectacular Now,James Ponsoldt,2013,USA,3,3,10
953,4,Popular/genre depth,Tucker and Dale vs. Evil,Eli Craig,2010,USA,3,3,10
954,4,Popular/genre depth,Red Cliff,John Woo,2008,China,3,3,10
955,4,Contemporary curation,Broken Flowers,Jim Jarmusch,2005,USA,3,3,10
956,4,Contemporary curation,8 Women,Francois Ozon,2002,France,3,3,10
957,4,Contemporary curation,Insomnia,Christopher Nolan,2002,USA,3,3,10
958,4,Contemporary curation,Panic Room,David Fincher,2002,USA,3,3,10
959,4,Contemporary curation,Out of Sight,Steven Soderbergh,1998,USA,3,3,10
960,4,Contemporary curation,The Game,David Fincher,1997,USA,3,3,10
961,4,Contemporary curation,To Die For,Gus Van Sant,1995,USA,3,3,10
962,4,Popular/genre depth,Jawan,Atlee,2023,India,4,2,10
963,4,Popular/genre depth,K.G.F: Chapter 2,Prashanth Neel,2022,India,4,2,10
964,4,Popular/genre depth,The Roundup,Lee Sang-yong,2022,South Korea,4,2,10
965,4,Popular/genre depth,The Conjuring: The Devil Made Me Do It,Michael Chaves,2021,USA,4,2,10
966,4,Popular/genre depth,Wonder Woman 1984,Patty Jenkins,2020,USA,4,2,10
967,4,Popular/genre depth,Spider-Man: Far From Home,Jon Watts,2019,USA,4,2,10
968,4,Popular/genre depth,Star Wars: The Rise of Skywalker,J.J. Abrams,2019,USA,4,2,10
969,4,Popular/genre depth,Jurassic World: Fallen Kingdom,J.A. Bayona,2018,USA,4,2,10
970,4,Popular/genre depth,Solo: A Star Wars Story,Ron Howard,2018,USA,4,2,10
971,4,Popular/genre depth,The Nun,Corin Hardy,2018,USA,4,2,10
972,4,Popular/genre depth,Star Wars: Episode I - The Phantom Menace,George Lucas,1999,USA,5,2,10
973,4,Contemporary curation,Ixcanul,Jayro Bustamante,2015,Guatemala,2,4,9
974,4,Contemporary curation,Kaili Blues,Bi Gan,2015,China,2,4,9
975,4,Contemporary curation,Sweet Bean,Naomi Kawase,2015,Japan,2,4,9
976,4,Contemporary curation,The Childhood of a Leader,Brady Corbet,2015,USA,2,4,9
977,4,Contemporary curation,Blind Massage,Lou Ye,2014,China,2,4,9
978,4,Contemporary curation,Laurence Anyways,Xavier Dolan,2012,Canada,2,4,9
979,4,Contemporary curation,Ship of Theseus,Anand Gandhi,2012,India,2,4,9
980,4,Contemporary curation,Snowtown,Justin Kurzel,2011,Australia,2,4,9
981,4,Contemporary curation,White Material,Claire Denis,2009,France,2,4,9
982,4,Contemporary curation,Inland Empire,David Lynch,2006,USA,2,4,9
983,4,Contemporary curation,Old Joy,Kelly Reichardt,2006,USA,2,4,9
984,4,Contemporary curation,Trouble Every Day,Claire Denis,2001,France,2,4,9
985,4,Popular/genre depth,Redline,Takeshi Koike,2009,Japan,3,3,9
986,4,Contemporary curation,We Own the Night,James Gray,2007,USA,3,3,9
987,4,Popular/genre depth,Steamboy,Katsuhiro Otomo,2004,Japan,3,3,9
988,4,Popular/genre depth,Vampire Hunter D: Bloodlust,Yoshiaki Kawajiri,2000,Japan,3,3,9
989,4,Popular/genre depth,Drunken Master II,Lau Kar-leung,1994,Hong Kong,3,3,9
990,4,Popular/genre depth,Say Anything...,Cameron Crowe,1989,USA,3,3,9
991,4,Popular/genre depth,The Howling,Joe Dante,1981,USA,3,3,9
992,4,Popular/genre depth,The Fog,John Carpenter,1980,USA,3,3,9
993,4,Popular/genre depth,The Spy Who Loved Me,Lewis Gilbert,1977,UK,3,3,9
994,4,Popular/genre depth,Woodstock,Michael Wadleigh,1970,USA,3,3,9
995,4,Popular/genre depth,Along with the Gods: The Two Worlds,Kim Yong-hwa,2017,South Korea,4,2,9
996,4,Popular/genre depth,Annabelle: Creation,David F. Sandberg,2017,USA,4,2,9
997,4,Contemporary curation,Lebanon,Samuel Maoz,2009,Israel,2,4,8
998,4,Contemporary curation,Spring Fever,Lou Ye,2009,China,2,4,8
999,4,Contemporary curation,Summer Hours,Olivier Assayas,2008,France,2,4,8
