Part,Major Category,Sub Category,Theory Title,Theorist
Psychology,IV. Social Psychology Theories,B. Interpersonal Relationships,Social Exchange Theory (Relationships),John Thibaut & Harold Kelley
Psychology,IV. Social Psychology Theories,B. Interpersonal Relationships,Equity Theory (Relationships),J. Stacy Adams
Psychology,IV. Social Psychology Theories,B. Interpersonal Relationships,Interdependence Theory,Harold Kelley & John Thibaut
Psychology,IV. Social Psychology Theories,C. Prejudice & Discrimination,Realistic Conflict Theory,Muzafer Sherif
Psychology,IV. Social Psychology Theories,C. Prejudice & Discrimination,Social Learning Theory of Prejudice,Albert Bandura (applied to prejudice)
Psychology,IV. Social Psychology Theories,D. Prosocial Behavior,Bystander Effect,Bibb Latané & John Darley
Psychology,IV. Social Psychology Theories,D. Prosocial Behavior,Empathy-Altruism Hypothesis,C. Daniel Batson
Psychology,V. Personality Theories,A. Trait Theories,Five-Factor Model (Big Five),Costa & McCrae
Psychology,V. Personality Theories,A. Trait Theories,Trait Theory (General),"Gordon Allport, Raymond Cattell"
Psychology,V. Personality Theories,B. Psychodynamic (Neo-Freudian),Ego Psychology,"Heinz Hartmann, Erik Erikson"
Psychology,V. Personality Theories,B. Psychodynamic (Neo-Freudian),Object Relations Theory (Individual),"Melanie Klein, D.W. Winnicott"
Psychology,V. Personality Theories,C. Phenomenological & Existential,Self-Actualization (Psychology),"Carl Rogers, Abraham Maslow"
Psychology,V. Personality Theories,C. Phenomenological & Existential,Meaning-Making Theory (Psychology),Viktor Frankl
Psychology,VI. Abnormal Psychology & Clinical Theories,A. Diagnostic Models,Diathesis-Stress Model,Paul Meehl
Psychology,VI. Abnormal Psychology & A. Diagnostic Models,Biopsychosocial Model,Biopsychosocial Model,George L. Engel
Psychology,VI. Abnormal Psychology & B. Therapeutic Approaches,Cognitive Behavioral Therapy (CBT),Cognitive Behavioral Therapy (CBT),"Aaron Beck, Albert Ellis"
Psychology,VI. Abnormal Psychology & B. Therapeutic Approaches,Dialectical Behavior Therapy (DBT),Dialectical Behavior Therapy (DBT),Marsha M. Linehan
Psychology,VI. Abnormal Psychology & B. Therapeutic Approaches,Psychodynamic Therapy,Psychodynamic Therapy,"Otto Kernberg, Nancy McWilliams"
Psychology,VI. Abnormal Psychology & B. Therapeutic Approaches,Family Systems Therapy (Clinical),Family Systems Therapy (Clinical),"Murray Bowen, Virginia Satir"
Psychology,VI. Abnormal Psychology & C. Specific Disorders,Learned Helplessness Theory,Learned Helplessness Theory,Martin Seligman
Psychology,VII. Positive Psychology Theories,A. Well-being & Flourishing,PERMA Model of Well-being,Martin Seligman
Psychology,VII. Positive Psychology Theories,A. Well-being & Flourishing,Flow Theory,Mihaly Csikszentmihalyi
Psychology,VII. Positive Psychology Theories,B. Character Strengths,Character Strengths and Virtues,Christopher Peterson & Martin Seligman
Psychology,VIII. Cognitive Science & Neuroscience (Psychology),A. Cognitive Processes (Advanced),Dual Process Theory (Cognition),"Daniel Kahneman, Amos Tversky"
Psychology,VIII. Cognitive Science & A. Cognitive Processes (Advanced),Theory of Mind,Theory of Mind,Simon Baron-Cohen
Psychology,VIII. Cognitive Science & A. Cognitive Processes (Advanced),Embodied Cognition (Psychology),Embodied Cognition (Psychology),"George Lakoff, Mark Johnson"
Psychology,VIII. Cognitive Science & B. Neuroscience Approaches,Neuroplasticity,Neuroplasticity,Donald Hebb
Psychology,VIII. Cognitive Science & B. Neuroscience Approaches,Affective Neuroscience,Affective Neuroscience,Jaak Panksepp
Psychology,IX. Relationship & Interpersonal Theories (Advanced),A. Relational Dynamics,Self-Disclosure Theory,Sidney Jourard
Psychology,IX. Relationship & A. Relational Dynamics,Social Support Theory (Individual),Social Support Theory (Individual),Sidney Cobb
Psychology,IX. Relationship & B. Couple & Family Dynamics,Gottman's Sound Relationship House,Gottman's Sound Relationship House,John Gottman
Psychology,IX. Relationship & B. Couple & Family Dynamics,Conflict Styles (Relationships),Conflict Styles (Relationships),"Kenneth Thomas, Ralph Kilmann"
Psychology,IX. Relationship & C. Love & Attraction,Triangular Theory of Love,Triangular Theory of Love,Robert Sternberg
Psychology,IX. Relationship & C. Love & Attraction,Social Exchange Theory of Attraction,Social Exchange Theory of Attraction,N/A (Application of Social Exchange Theory)
Psychology,IX. Relationship & C. Love & Attraction,Matching Hypothesis (Relationships),Matching Hypothesis (Relationships),Elaine Hatfield
Psychology,X. Critical & Applied Psychological Theories,A. Critical Psychology,Critical Psychology,Thomas Teo
Psychology,X. Critical & A. Critical Psychology,Mad Studies (Psychology),Mad Studies (Psychology),"Jasna Russo, Peter Beresford"
Psychology,X. Critical & B. Health Psychology,Health Belief Model,Health Belief Model,"Godfrey Hochbaum, Stephen Kegels"
Psychology,X. Critical & B. Health Psychology,Theory of Planned Behavior,Theory of Planned Behavior,Icek Ajzen
Psychology,X. Critical & C. Environmental Psychology,Environmental Psychology,Environmental Psychology,Roger Barker
Psychology,X. Critical & C. Environmental Psychology,Place Attachment Theory,Place Attachment Theory,Irwin Altman
Psychology,XI. Emerging & Specialized Psychological Theories,A. Positive Youth Development,Positive Youth Development,Richard M. Lerner
Psychology,XI. Emerging & B. Cross-Cultural Psychology,Cultural Psychology,Cultural Psychology,"Richard Shweder, Hazel Rose Markus"
Psychology,XI. Emerging & C. Social Neuroscience,Social Neuroscience,Social Neuroscience,"John Cacioppo, Gary Berntson"
Psychology,XI. Emerging & D. Evolutionary Psychology,Evolutionary Psychology,Evolutionary Psychology,"David Buss, Leda Cosmides, John Tooby"
Psychology,XI. Emerging & E. Psychology of Technology,Cyberpsychology,Cyberpsychology,John Suler
Psychology,XI. Emerging & F. Psychology of Well-being,Self-Determination Theory,Self-Determination Theory,Edward L. Deci & Richard M. Ryan
Psychology,XI. Emerging & F. Psychology of Well-being,Broaden-and-Build Theory of Positive Emotions,Broaden-and-Build Theory of Positive Emotions,Barbara L. Fredrickson
Psychology,XII. Counseling & Therapeutic Theories (Specific),A. Psychodynamic (Advanced),Transference-Focused Psychotherapy (TFP),Otto F. Kernberg
Psychology,XII. Counseling & A. Psychodynamic (Advanced),Relational Psychoanalysis,Relational Psychoanalysis,Stephen A. Mitchell
Psychology,XII. Counseling & B. Cognitive (Advanced),Rational Emotive Behavior Therapy (REBT),Rational Emotive Behavior Therapy (REBT),Albert Ellis
Psychology,XII. Counseling & B. Cognitive (Advanced),Schema Therapy,Schema Therapy,Jeffrey Young
Psychology,XII. Counseling & C. Humanistic (Advanced),Gestalt Therapy,Gestalt Therapy,Fritz Perls
Psychology,XII. Counseling & C. Humanistic (Advanced),Existential-Humanistic Therapy,Existential-Humanistic Therapy,James Bugental
Psychology,XII. Counseling & D. Systemic (Advanced),Solution-Focused Brief Therapy (SFBT),Solution-Focused Brief Therapy (SFBT),"Steve de Shazer, Insoo Kim Berg"
Psychology,XII. Counseling & D. Systemic (Advanced),Narrative Therapy (Psychology),Narrative Therapy (Psychology),"Michael White, David Epston"
Psychology,XII. Counseling & D. Systemic (Advanced),Milan Systemic Family Therapy (Individual),Milan Systemic Family Therapy (Individual),Mara Selvini Palazzoli (applied to individual)
Psychology,XIII. Social Psychology (Advanced),A. Social Influence,Social Impact Theory,Bibb Latané
Psychology,XIII. Social Psychology & A. Social Influence,Reactance Theory,Reactance Theory,Jack Brehm
Psychology,XIII. Social Psychology & B. Attitudes & Persuasion,Elaboration Likelihood Model (ELM),Elaboration Likelihood Model (ELM),Richard E. Petty & John Cacioppo
Psychology,XIII. Social Psychology & B. Attitudes & Persuasion,Cognitive Consistency Theory,Cognitive Consistency Theory,Fritz Heider
Psychology,XIII. Social Psychology & C. Self & Identity,Self-Verification Theory,Self-Verification Theory,William Swann Jr.
Psychology,XIII. Social Psychology & C. Self & Identity,Possible Selves Theory,Possible Selves Theory,Hazel Markus & Paula Nurius
Psychology,XIII. Social Psychology & D. Group Relations,Social Categorization Theory,Social Categorization Theory,John Turner
Psychology,XIV. Health Psychology (Advanced),A. Stress & Coping,Transactional Model of Stress and Coping,Richard Lazarus & Susan Folkman
Psychology,XIV. Health Psychology & A. Stress & Coping,General Adaptation Syndrome (GAS),General Adaptation Syndrome (GAS),Hans Selye
Psychology,XIV. Health Psychology & B. Chronic Illness,Self-Regulation Theory (Health),Self-Regulation Theory (Health),Albert Bandura (applied to health)
Psychology,XV. Developmental Psychology (Advanced),A. Early Childhood,Theory of Mind (Development),Alison Gopnik
Psychology,XV. Developmental Psychology & B. Adolescence,Identity Status Theory (Adolescence),Identity Status Theory (Adolescence),James Marcia
Psychology,XV. Developmental Psychology & C. Adulthood & Aging,Socioemotional Selectivity Theory (Aging),Socioemotional Selectivity Theory (Aging),Laura L. Carstensen
Psychology,XVI. Cross-Cultural & Cultural Psychology,A. Cultural Influences,Cultural Dimensions Theory (Hofstede),Geert Hofstede
Psychology,XVI. Cross-Cultural & A. Cultural Influences,Independent vs. Interdependent Self-Construal,Independent vs. Interdependent Self-Construal,Hazel Rose Markus & Shinobu Kitayama
Psychology,XVII. Cognitive Psychology (Advanced),A. Memory,Working Memory Model,Alan Baddeley & Graham Hitch
Psychology,XVII. Cognitive Psychology & A. Memory,Levels of Processing Theory (Memory),Levels of Processing Theory (Memory),Fergus Craik & Robert Lockhart
Psychology,XVII. Cognitive Psychology & B. Decision Making,Prospect Theory,Prospect Theory,Daniel Kahneman & Amos Tversky
Psychology,XVII. Cognitive Psychology & B. Decision Making,Bounded Rationality,Bounded Rationality,Herbert A. Simon
Psychology,XVIII. Environmental Psychology (Advanced),A. Stress & Environment,Restoration Theory (Environmental),Rachel Kaplan & Stephen Kaplan
Psychology,XVIII. Environmental Psychology & A. Stress & Environment,Stress Reduction Theory (SRT),Stress Reduction Theory (SRT),Roger S. Ulrich
Psychology,XIX. Evolutionary Psychology (Advanced),A. Mate Selection,Parental Investment Theory,Robert Trivers
Psychology,XIX. Evolutionary Psychology & A. Mate Selection,Sexual Strategies Theory,Sexual Strategies Theory,David Buss
Psychology,XX. Personality Psychology (Advanced),A. Psychodynamic (Contemporary),Interpersonal Psychoanalysis,Harry Stack Sullivan
Psychology,XX. Personality Psychology & B. Trait (Beyond Big Five),HEXACO Model of Personality,HEXACO Model of Personality,Kibeom Lee & Michael C. Ashton
Psychology,XXI. Health & Clinical Psychology (Advanced),A. Addiction,Addiction as a Disease Model,N/A (Medical model)
Psychology,XXI. Health & A. Addiction,Self-Medication Hypothesis (Addiction),Self-Medication Hypothesis (Addiction),Edward Khantzian
Psychology,XXI. Health & B. Trauma & Resilience,Polyvagal Theory (Trauma),Polyvagal Theory (Trauma),Stephen Porges
Psychology,XXI. Health & B. Trauma & Resilience,Somatic Experiencing (Trauma Therapy),Somatic Experiencing (Trauma Therapy),Peter A. Levine
Psychology,XXII. Social Psychology (Beyond Basic),A. Social Influence (Advanced),Social Norms Theory,"Cialdini, Kallgren, Reno"
Psychology,XXII. Social Psychology & A. Social Influence (Advanced),Theory of Reasoned Action (TRA),Theory of Reasoned Action (TRA),Martin Fishbein & Icek Ajzen
Psychology,XXII. Social Psychology & B. Persuasion,Reciprocity Principle (Persuasion),Reciprocity Principle (Persuasion),Robert Cialdini
Psychology,XXII. Social Psychology & B. Persuasion,Scarcity Principle (Persuasion),Opportunities seem more valuable when their availability is limited.,
Psychology,XXII. Social Psychology & C. Group Dynamics,Social Loafing,Social Loafing,Max Ringelmann
Psychology,XXII. Social Psychology & C. Group Dynamics,Deindividuation Theory,Deindividuation Theory,"Leon Festinger, Philip Zimbardo"
Psychology,XXIII. Cognitive Neuroscience (Applied),A. Decision Making,Reward Prediction Error (Neuroscience),Wolfram Schultz
Psychology,XXIII. Cognitive Neuroscience & B. Emotion & Regulation,Emotion Regulation Strategies,Emotion Regulation Strategies,James J. Gross
Psychology,XXIV. Positive Psychology (Specific Applications),A. Meaning & Purpose,Search for Meaning Theory,Viktor Frankl
Psychology,XXIV. Positive Psychology & A. Meaning & Purpose,Eudaimonic Well-being,Eudaimonic Well-being,Carol Ryff
Psychology,XXV. Developmental Psychology (Specific Focus),A. Parenting,Authoritative Parenting Theory,Diana Baumrind
Psychology,XXV. Developmental Psychology & A. Parenting,Attachment Parenting Theory,Attachment Parenting Theory,William Sears
Psychology,XXVI. Cross-Cultural Psychology (Advanced),A. Self-Concept,Relational Self-Construal,"Stephen Chen, Nancy Cantor"
Psychology,XXVI. Cross-Cultural Psychology & A. Self-Concept,Cultural Syndromes (Psychology),Cultural Syndromes (Psychology),Harry C. Triandis
Psychology,XXVII. Counseling Psychology (Broader Approaches),A. Humanistic-Existential,Logotherapy,Viktor Frankl
Psychology,XXVII. Counseling Psychology & B. Feminist Therapy,Feminist Therapy,Feminist Therapy,Laura S. Brown
Psychology,XXVII. Counseling Psychology & C. Multicultural Counseling,Multicultural Counseling Theory,Multicultural Counseling Theory,Derald Wing Sue
Psychology,XXVII. Counseling Psychology & D. Trauma-Informed,Trauma-Informed Care,Trauma-Informed Care,SAMHSA
Psychology,XXVIII. Social Cognition (Advanced),A. Biases & Heuristics,Availability Heuristic,Daniel Kahneman & Amos Tversky
Psychology,XXVIII. Social Cognition & A. Biases & Heuristics,Representativeness Heuristic,Representativeness Heuristic,Daniel Kahneman & Amos Tversky
Psychology,XXIX. Group Dynamics (Advanced),A. Leadership,Transformational Leadership Theory,Bernard M. Bass
Psychology,XXIX. Group Dynamics & B. Group Performance,Social Facilitation Theory,Social Facilitation Theory,Robert Zajonc
Psychology,XXX. Relationship Psychology (Specific Theories),A. Conflict & Repair,Demand/Withdraw Pattern,"Howard Markman, John Gottman"
Psychology,XXX. Relationship Psychology & A. Conflict & Repair,Repair Attempts (Relationships),Repair Attempts (Relationships),John Gottman
Psychology,XXX. Relationship Psychology & B. Long-Term Relationships,Investment Model of Commitment,Investment Model of Commitment,Caryl Rusbult
Psychology,XXX. Relationship Psychology & B. Long-Term Relationships,Relational Dialectics Theory,Relational Dialectics Theory,"Leslie Baxter, Barbara Montgomery"
Psychology,XXX. Relationship Psychology & C. Communication,Communication Accommodation Theory,Communication Accommodation Theory,Howard Giles
Psychology,XXX. Relationship Psychology & D. Attraction & Love,Mere Exposure Effect (Attraction),Repeated exposure to a novel stimulus increases liking for that stimulus.,
Psychology,XXX. Relationship Psychology & D. Attraction & Love,Reciprocal Liking (Attraction),We tend to like people who like us in return.,
Psychology,XXXI. Developmental Psychology (Special Topics),A. Moral Emotion,Empathy Development Theory,Martin L. Hoffman
Psychology,XXXI. Developmental Psychology & B. Theory of Mind (Advanced),False-Belief Task (Theory of Mind),False-Belief Task (Theory of Mind),Wimmer & Perner
Psychology,XXXII. Personality Psychology (Advanced Models),A. Psychodynamic (Contemporary),Self Psychology,Heinz Kohut
Psychology,XXXII. Personality Psychology & B. Trait (Further Developments),Reinforcement Sensitivity Theory (RST),Reinforcement Sensitivity Theory (RST),Jeffrey Gray
Psychology,XXXIII. Social Influence & Persuasion (Advanced),A. Social Norms,Injunctive Norms,
Psychology,XXXIII. Social Influence & A. Social Norms,Descriptive Norms,Perceptions of how most people behave in a given situation.,
Psychology,XXXIV. Stress & Coping (Clinical Applications),A. Coping Styles,Problem-Focused Coping,Richard Lazarus & Susan Folkman
Psychology,XXXIV. Stress & A. Coping Styles,Emotion-Focused Coping,Emotion-Focused Coping,Richard Lazarus & Susan Folkman
Psychology,XXXV. Positive Psychology (Further Concepts),A. Grit,Grit Theory,
Psychology,XXXV. Positive Psychology & B. Optimism,Dispositional Optimism,Dispositional Optimism,Michael Scheier & Charles Carver
Psychology,XXXVI. Emotion Regulation (Advanced),A. Regulation Strategies,Cognitive Reappraisal,James J. Gross
Psychology,XXXVI. Emotion Regulation & A. Regulation Strategies,Expressive Suppression,Inhibiting the behavioral expression of emotion.,
Psychology,XXXVII. Addiction (Beyond Basic Models),A. Dual Process Models,Dual Process Theory of Addiction,"Wiers, Stacy, & Marlat"
Psychology,XXXVIII. Trauma & Resilience (Further Concepts),A. Post-Traumatic Growth,Post-Traumatic Growth (PTG),Richard Tedeschi & Lawrence Calhoun
Psychology,XXXIX. Interpersonal Relationships (Advanced Models),A. Intimacy,Self-Expansion Theory,Arthur Aron & Elaine Aron
Psychology,XXXIX. Interpersonal Relationships & B. Relationship Maintenance,Social Support Theory (Relationships),Social Support Theory (Relationships),Shelley E. Taylor
Psychology,XL. Social Cognition (Recent Developments),A. Embodied Simulation,Embodied Simulation (Psychology),Vittorio Gallese
Psychology,XL. Social Cognition & B. Implicit Bias,Implicit Bias Theory,Implicit Bias Theory,Mahzarin Banaji & Anthony Greenwald
Psychology,XLI. Personality & Social Psychology (Integration),A. Personality in Context,Interactionism (Personality),"Walter Mischel, Albert Bandura"
Psychology,XLII. Health Psychology (Behavioral Change),A. Motivation for Change,Transtheoretical Model (Stages of Change),James O. Prochaska & Carlo C. DiClemente
Psychology,XLIII. Developmental Psychology (Lifespan),A. Adult Development,Midlife Crisis Theory,Daniel Levinson (though often critiqued or reframed)
Psychology,XLIV. Abnormal Psychology (Etiology),A. Vulnerability Factors,Expressed Emotion (EE) (Psychology),George W. Brown
Psychology,XLV. Positive Psychology (Applications),A. Gratitude,Gratitude Theory,Robert Emmons
Psychology,XLVI. Cognitive Psychology (Applied),A. Expertise,Deliberate Practice Theory,K. Anders Ericsson
Psychology,XLVII. Environmental Psychology (Applications),A. Restorative Environments,Attention Restoration Theory (ART),Rachel Kaplan & Stephen Kaplan
Psychology,XLVIII. Evolutionary Psychology (Social Behavior),A. Cooperation,Reciprocal Altruism,Robert Trivers
Psychology,XLIX. Neuropsychology,A. Brain & Behavior,Dual-Coding Theory (Memory),
Psychology,L. Psychotherapy (Integrative Approaches),A. Common Factors,Common Factors Theory (Therapy),"Saul Rosenzweig, Bruce Wampold"
Psychology,LI. Stress & Coping (Specific Models),A. Social Support,Buffering Hypothesis (Social Support),Cohen & Wills
Psychology,LII. Positive Psychology (Future-Oriented),A. Hope,Hope Theory (Psychology),C. R. Snyder
Psychology,LIII. Decision-Making (Behavioral Economics),A. Biases,Anchoring Bias,Amos Tversky & Daniel Kahneman
Psychology,LIV. Personality (Dynamic Approaches),A. Narrative Identity,Narrative Identity Theory,Dan P. McAdams
Psychology,LV. Social Cognition (Advanced Processes),A. Implicit Association,Implicit Association Test (IAT) (Theory),Anthony Greenwald & Mahzarin Banaji
Psychology,LVI. Developmental Psychology (Contextual),A. Ecological Systems,Microsystem (Developmental),Urie Bronfenbrenner
Psychology,LVII. Clinical Psychology (Intervention Mechanisms),A. Therapeutic Alliance,Therapeutic Alliance Theory,"Edward Bordin, Carl Rogers"
Psychology,LVIII. Humanistic Psychology (Further Development),A. Peak Experiences,Peak Experiences,Abraham Maslow
Psychology,LIX. Relationships (Advanced Dynamics),A. Social Interdependence,Outcome Interdependence,Harold Kelley & John Thibaut
Psychology,LX. Health Psychology (Psychological Factors),A. Beliefs & Attitudes,Theory of Reasoned Action (TRA) (Health),Martin Fishbein & Icek Ajzen
Psychology,LXI. Cognitive Psychology (Beyond Memory),A. Problem Solving,Means-Ends Analysis,Allen Newell & Herbert A. Simon
Psychology,LXII. Social Influence (Advanced Mechanisms),A. Minority Influence,Minority Influence Theory,Serge Moscovici
Psychology,LXIII. Personality (Situational Influences),A. Person-Situation Debate,Person-Situation Debate,Walter Mischel
Psychology,LXIV. Positive Psychology (Interventions),A. Strengths-Based,Strengths-Based Interventions,"Martin Seligman, Clifton StrengthsFinder"
Psychology,LXV. Developmental Psychology (Social Cognition),A. Social Perspective Taking,Social Perspective-Taking,Robert L. Selman
Psychology,LXVI. Emotion Psychology (Basic Processes),A. Components of Emotion,Component Process Model of Emotion,Klaus R. Scherer
Psychology,LXVII. Psychopathology (Specific Models),A. Borderline Personality,Biosocial Theory of Borderline Personality Disorder,Marsha M. Linehan
Psychology,LXVIII. Health Psychology (Stress Pathways),A. Allostasis,Allostasis and Allostatic Load,Bruce McEwen
Psychology,LXIX. Relationship Psychology (Maintenance),A. Investment,Comparison Level (Relationships),Harold Kelley & John Thibaut
Psychology,LXX. Relationship Psychology (Attraction),A. Proximity & Familiarity,Proximity Effect (Attraction),"Leon Festinger, Stanley Schachter, Kurt Back"
Psychology,LXXI. Personality Development (Lifespan),A. Generativity,Generativity vs. Stagnation,Erik Erikson
Psychology,LXXII. Positive Psychology (Applications to Life),A. Resilience,Resilience Theory (Psychology),Ann Masten
Psychology,LXXIII. Cognitive Psychology (Language),A. Language Acquisition,Universal Grammar Theory,Noam Chomsky
Psychology,LXXIV. Social Influence (Advanced),A. Social Proof,Social Proof Principle (Persuasion),Robert Cialdini
Psychology,LXXV. Group Dynamics (Leadership Styles),A. Contingency Theory,Contingency Theory of Leadership,Fred Fiedler
Psychology,LXXVI. Relationships (Attachment in Adulthood),A. Adult Attachment Styles,Adult Attachment Theory,Cindy Hazan & Phillip Shaver
Psychology,LXXVII. Health Psychology (Illness Behavior),A. Illness Representation,Common Sense Model of Illness Self-Regulation,Howard Leventhal
Psychology,LXXVIII. Developmental Psychology (Moral Reasoning),A. Prosocial Behavior,Prosocial Moral Reasoning,Nancy Eisenberg
Psychology,LXXIX. Personality (Self-Concept),A. Self-Discrepancy,Self-Discrepancy Theory,E. Tory Higgins
Psychology,LXXX. Social Cognition (Attribution Biases),A. Actor-Observer Bias,Actor-Observer Bias,Edward E. Jones & Richard E. Nisbett
Psychology,LXXXI. Positive Psychology (Strengths),A. Self-Compassion,Self-Compassion Theory,Kristin Neff
Psychology,LXXXII. Memory (Advanced),A. Constructive Memory,Constructive Memory,"Frederic Bartlett, Elizabeth Loftus"
Psychology,LXXXIII. Social Influence (Compliance),A. Foot-in-the-Door Technique,Foot-in-the-Door Technique,Jonathan Freedman & Scott Fraser
Psychology,LXXXIV. Group Dynamics (Decision Making),A. Group Polarization,Group Polarization,James Stoner
Psychology,LXXXV. Health Psychology (Stress and Disease),A. Psychoneuroimmunology (PNI),Psychoneuroimmunology (PNI),Robert Ader
Psychology,LXXXVI. Relationships (Attachment in Therapy),A. Emotionally Focused Therapy (EFT),Emotionally Focused Therapy (EFT),Sue Johnson & Les Greenberg
Psychology,LXXXVII. Personality (Evolutionary Approaches),A. Individual Differences,Individual Differences (Evolutionary),David Buss
Psychology,LXXXVIII. Social Cognition (Stereotypes),A. Stereotype Threat,Stereotype Threat Theory,Claude Steele & Joshua Aronson
Psychology,LXXXIX. Developmental Psychology (Play),A. Functions of Play,Play Theory (Developmental),"Lev Vygotsky, Jean Piaget"
Psychology,XC. Counseling Psychology (Integrative),A. Integrative Psychotherapy,Integrative Psychotherapy,James O. Prochaska & John C. DiClemente
Psychology,XCI. Cognitive Psychology (Attention),A. Selective Attention,Selective Attention Theory,Donald Broadbent
Psychology,XCII. Social Psychology (Aggression),A. Frustration-Aggression,Frustration-Aggression Hypothesis,
Psychology,XCIII. Personality (Humanistic),A. Self-Concept,Ideal Self vs. Real Self,Carl Rogers
Psychology,XCIV. Developmental Psychology (Gender),A. Gender Identity,Social Learning Theory of Gender Development,Albert Bandura
Psychology,XCV. Positive Psychology (Interpersonal),A. Positive Relationships,Active Constructive Responding,Shelly Gable
Psychology,XCVI. Health Psychology (Chronic Pain),A. Biopsychosocial Model of Pain,Biopsychosocial Model of Pain,Ronald Melzack
Psychology,XCVII. Social Psychology (Helping Behavior),A. Reciprocity,Reciprocity Norm (Helping),Alvin Gouldner
Psychology,XCVIII. Personality (Cultural Influences),A. Cultural Personality,Cultural-Personality Approach,"Abram Kardiner, Cora Du Bois"
Psychology,XCIX. Developmental Psychology (Cognitive Flexibility),A. Executive Functions,Executive Functions Theory,Adele Diamond
Psychology,C. Psychotherapy (Short-Term),A. Solution-Focused,Solution-Building,"Steve de Shazer, Insoo Kim Berg"
Psychology,CI. Attachment Theory (Beyond Childhood),A. Disorganized Attachment,Disorganized Attachment (Adult),Mary Main
Psychology,CII. Cognitive Bias Theory,A. Cognitive Biases (Advanced),Hindsight Bias,Baruch Fischhoff
Psychology,CIII. Social Identity (Beyond Basic),A. Optimal Distinctiveness Theory,Optimal Distinctiveness Theory,Marilynn Brewer
Psychology,CIV. Relationship Theory (Conflict),A. Gottman's Four Horsemen,Four Horsemen of the Apocalypse (Relationships),John Gottman
Psychology,CV. Health Psychology (Stress & Illness),A. Stress-Buffering,Stress-Buffering Hypothesis,Cohen & Wills
Psychology,CVI. Personality (Self-Regulation),A. Self-Control,Self-Control Theory (Psychology),Roy F. Baumeister
Psychology,CVII. Developmental Psychopathology,A. Risk & Resilience,Developmental Psychopathology,Dante Cicchetti
Psychology,CVIII. Evolutionary Psychology (Social Exchange),A. Cheater Detection,Cheater Detection Module,Leda Cosmides & John Tooby
Psychology,CIX. Cognitive Psychology (Problem Solving),A. Insight,Insight (Psychology),Wolfgang Köhler
Psychology,CX. Social Psychology (Attitudes & Behavior),A. Theory of Planned Behavior (TPB),Theory of Planned Behavior (TPB),Icek Ajzen
Psychology,CXI. Personality (Motivation),A. Self-Actualization (Advanced),Self-Transcendent Experiences,Abraham Maslow (later work)
Psychology,CXII. Clinical Psychology (Trauma),A. Complex Trauma,Complex Trauma Theory,Judith Herman
Psychology,CXIII. Positive Psychology (Well-being),A. Hedonic Well-being,Hedonic Well-being,Daniel Kahneman
Psychology,CXIV. Developmental Psychology (Language),A. Language Acquisition (Social),Interactionist Theory of Language Acquisition,"Jerome Bruner, Lev Vygotsky"
Psychology,CXV. Social Psychology (Compliance),A. Door-in-the-Face Technique,Door-in-the-Face Technique,Robert Cialdini
Psychology,CXVI. Personality (Neurobiology),A. Behavioral Inhibition System (BIS),Behavioral Inhibition System (BIS),Jeffrey Gray
Psychology,CXVII. Personality (Neurobiology),A. Behavioral Activation System (BAS),Behavioral Activation System (BAS),Jeffrey Gray
Psychology,CXVIII. Relationships (Attachment & Neuroscience),A. Neurobiology of Attachment,Neurobiology of Attachment,"Sue Johnson, Steven W. Porges"
Psychology,CXIX. Health Psychology (Chronic Illness),A. Self-Management,Self-Management Theory (Chronic Illness),Kate Lorig
Psychology,CXX. Developmental Psychology (Social Influence),A. Peer Influence,Peer Influence Theory,Judith Rich Harris
Psychology,CXXI. Cognitive Psychology (Creativity),A. Divergent Thinking,Divergent Thinking Theory,J.P. Guilford
Psychology,CXXII. Social Psychology (Prejudice),A. Contact Hypothesis,Contact Hypothesis,Gordon Allport
Psychology,CXXIII. Personality (Self-Concept),A. Self-Verification,Self-Verification Theory,William B. Swann Jr.
Psychology,CXXIV. Developmental Psychology (Resilience),A. Protective Factors,Protective Factors (Developmental),Ann Masten
Psychology,CXXV. Health Psychology (Behavioral Change Models),A. Health Action Process Approach (HAPA),Health Action Process Approach (HAPA),Ralf Schwarzer
Psychology,CXXVI. Counseling Psychology (Solution-Focused),A. Miracle Question,Miracle Question (Therapy),Steve de Shazer
Psychology,CXXVII. Social Psychology (Attribution),A. Self-Perception Theory,Self-Perception Theory,Daryl Bem
Psychology,CXXVIII. Personality (Cognitive Affective),A. Cognitive-Affective Personality System (CAPS),Cognitive-Affective Personality System (CAPS),Walter Mischel & Yuichi Shoda
Psychology,CXXIX. Developmental Psychology (Emotional Regulation),A. Emotional Competence,Emotional Competence Theory,Carolyn Saarni
Psychology,CXXX. Relationships (Conflict),A. Reciprocity (Conflict),Negative Reciprocity (Relationships),John Gottman
Critics,I. Formalist & Text-Centric Approaches,A. Early Formalism,Russian Formalism,"Viktor Shklovsky, Roman Jakobson, Boris Eichenbaum"
Critics,I. Formalist & Text-Centric Approaches,A. Early Formalism,New Criticism,"T.S. Eliot, I.A. Richards, Cleanth Brooks, John Crowe Ransom"
Critics,I. Formalist & Text-Centric Approaches,A. Early Formalism,Practical Criticism,I.A. Richards
Critics,I. Formalist & Text-Centric Approaches,B. Linguistic Formalism,Structuralism (Criticism),"Claude Lévi-Strauss, Roland Barthes, Ferdinand de Saussure"
