Part,RomanHead,TrueMajor,TrueSub,Theory Title,Theorist,Major Category
Family,X,X. Theoretical Frameworks (BB. Family & Technology),Digital Family Rhythms,Digital Family Rhythms,N/A (Emerging area),X. Theoretical Frameworks (BB. Family & Technology)
Family,X,X. Theoretical Frameworks (CC. Family & Social Inequality),Cumulative Disadvantage Theory (Family),Cumulative Disadvantage Theory (Family),Erik Olin Wright (applied to family),X. Theoretical Frameworks (CC. Family & Social Inequality)
Family,X,X. Theoretical Frameworks (DD. Family & Cultural Studies),Family Narratives (Cultural),Family Narratives (Cultural),Robyn Fivush,X. Theoretical Frameworks (DD. Family & Cultural Studies)
Family,X,X. Theoretical Frameworks (EE. Family & Aging),Filial Piety (Family),Filial Piety (Family),"Confucius (historical concept, theorized in sociology)",X. Theoretical Frameworks (EE. Family & Aging)
Family,X,X. Theoretical Frameworks (FF. Family & Policy),Universal Basic Income (UBI) and Family,Universal Basic Income (UBI) and Family,"N/A (Policy, theorized for family impacts)",X. Theoretical Frameworks (FF. Family & Policy)
Family,X,X. Theoretical Frameworks (GG. Family & Crime),Family Risk Factors for Delinquency,Family Risk Factors for Delinquency,Terrie E. Moffitt,X. Theoretical Frameworks (GG. Family & Crime)
Family,X,X. Theoretical Frameworks (HH. Family & Health),Social Support and Family Health,Social Support and Family Health,Lisa F. Berkman,X. Theoretical Frameworks (HH. Family & Health)
Family,X,X. Theoretical Frameworks (II. Family & Sexuality),LGBTQ+ Parenting Theory,LGBTQ+ Parenting Theory,Charlotte J. Patterson,X. Theoretical Frameworks (II. Family & Sexuality)
Family,X,X. Theoretical Frameworks (JJ. Family & Technology),Technofamily Theory,Technofamily Theory,"N/A (Emerging, broad concept)",X. Theoretical Frameworks (JJ. Family & Technology)
Family,X,X. Theoretical Frameworks (KK. Family & Social Justice),Family Abolition (Critical Theory),Family Abolition (Critical Theory),Sophie Lewis,X. Theoretical Frameworks (KK. Family & Social Justice)
Family,X,X. Theoretical Frameworks (LL. Family & Reproduction),Reproductive Justice (Family),Reproductive Justice (Family),Loretta Ross,X. Theoretical Frameworks (LL. Family & Reproduction)
Family,X,X. Theoretical Frameworks (MM. Family & Care),Care Economy (Family),Care Economy (Family),Nancy Folbre,X. Theoretical Frameworks (MM. Family & Care)
Family,X,X. Theoretical Frameworks (NN. Family & Identity),Family Identity Theory,Family Identity Theory,N/A (Communication/sociological concept),X. Theoretical Frameworks (NN. Family & Identity)
Family,X,X. Theoretical Frameworks (OO. Family & Education),Parental Involvement Theory (Education),Parental Involvement Theory (Education),Joyce L. Epstein,X. Theoretical Frameworks (OO. Family & Education)
Family,X,X. Theoretical Frameworks (PP. Family & History),Historical Demography (Family),Historical Demography (Family),"E.A. Wrigley, R.S. Schofield",X. Theoretical Frameworks (PP. Family & History)
Family,X,X. Theoretical Frameworks (QQ. Family & Migration),Transnational Motherhood Theory,Transnational Motherhood Theory,Rhacel Salazar Parreñas,X. Theoretical Frameworks (QQ. Family & Migration)
Family,X,X. Theoretical Frameworks (RR. Family & Policy),Familialism,Familialism,N/A (Political/sociological concept),X. Theoretical Frameworks (RR. Family & Policy)
Family,X,X. Theoretical Frameworks (SS. Family & Psychology),Scapegoat Theory (Family),Scapegoat Theory (Family),"N/A (Clinical concept, applied to family)",X. Theoretical Frameworks (SS. Family & Psychology)
Family,X,X. Theoretical Frameworks (TT. Family & Social Capital),Bonding Capital (Family),Bonding Capital (Family),Robert Putnam (applied to family),X. Theoretical Frameworks (TT. Family & Social Capital)
Family,X,X. Theoretical Frameworks (UU. Family & Social Capital),Bridging Capital (Family),Bridging Capital (Family),Robert Putnam (applied to family),X. Theoretical Frameworks (UU. Family & Social Capital)
Family,X,X. Theoretical Frameworks (VV. Family & Stress),Chronic Sorrow (Family),Chronic Sorrow (Family),Deborah Gold,X. Theoretical Frameworks (VV. Family & Stress)
Family,X,X. Theoretical Frameworks (WW. Family & Resilience),Hardiness (Family),Hardiness (Family),Suzanne C. Ouellette (adapted for family),X. Theoretical Frameworks (WW. Family & Resilience)
Family,X,X. Theoretical Frameworks (XX. Family & Therapy),Conjoint Family Therapy,Conjoint Family Therapy,Virginia Satir,X. Theoretical Frameworks (XX. Family & Therapy)
Family,X,X. Theoretical Frameworks (YY. Family & Therapy),Strategic Family Therapy,Strategic Family Therapy,"Jay Haley, Cloe Madanes",X. Theoretical Frameworks (YY. Family & Therapy)
Family,X,X. Theoretical Frameworks (ZZ. Family & Therapy),Milan Systemic Family Therapy,Milan Systemic Family Therapy,Mara Selvini Palazzoli,X. Theoretical Frameworks (ZZ. Family & Therapy)
Family,X,X. Theoretical Frameworks (AAA. Family & Therapy),Narrative Exposure Therapy (Family Context),Narrative Exposure Therapy (Family Context),Maggie Schauer,X. Theoretical Frameworks (AAA. Family & Therapy)
Family,X,X. Theoretical Frameworks (BBB. Family & Therapy),Internal Family Systems (IFS),Internal Family Systems (IFS),Richard C. Schwartz,X. Theoretical Frameworks (BBB. Family & Therapy)
Family,X,X. Theoretical Frameworks (CCC. Family & Theory),Critical Family Studies,Critical Family Studies,Janet R. Finch,X. Theoretical Frameworks (CCC. Family & Theory)
Family,X,X. Theoretical Frameworks (DDD. Family & Theory),Posthuman Family,Posthuman Family,N/A (Emerging concept),X. Theoretical Frameworks (DDD. Family & Theory)
Family,X,X. Theoretical Frameworks (EEE. Family & Theory),Virtual Family (Sociology),Virtual Family (Sociology),N/A (Emerging concept),X. Theoretical Frameworks (EEE. Family & Theory)
Family,X,X. Theoretical Frameworks (FFF. Family & Theory),Familial Capitalism,Familial Capitalism,Alfred D. Chandler Jr. (related to business history),X. Theoretical Frameworks (FFF. Family & Theory)
Family,X,X. Theoretical Frameworks (GGG. Family & Theory),The Myth of the Traditional Family,The Myth of the Traditional Family,Judith Stacey,X. Theoretical Frameworks (GGG. Family & Theory)
Family,X,X. Theoretical Frameworks (HHH. Family & Theory),Chosen Families,Chosen Families,Kath Weston,X. Theoretical Frameworks (HHH. Family & Theory)
Family,X,X. Theoretical Frameworks (III. Family & Theory),New Kinship Studies,New Kinship Studies,Janet Carsten,X. Theoretical Frameworks (III. Family & Theory)
Family,X,X. Theoretical Frameworks (JJJ. Family & Theory),Family Norms,Family Norms,N/A (Sociological concept),X. Theoretical Frameworks (JJJ. Family & Theory)
Family,X,X. Theoretical Frameworks (KKK. Family & Theory),Family Rituals,Family Rituals,Evan Imber-Black,X. Theoretical Frameworks (KKK. Family & Theory)
Family,X,X. Theoretical Frameworks (LLL. Family & Theory),Family Communication Patterns Theory,Family Communication Patterns Theory,Mary Anne Fitzpatrick,X. Theoretical Frameworks (LLL. Family & Theory)
Family,X,X. Theoretical Frameworks (MMM. Family & Theory),Social Support Networks (Family),Social Support Networks (Family),N/A (Social network theory applied to family),X. Theoretical Frameworks (MMM. Family & Theory)
Family,X,X. Theoretical Frameworks (NNN. Family & Theory),Interparental Conflict Theory,Interparental Conflict Theory,E. Mavis Hetherington,X. Theoretical Frameworks (NNN. Family & Theory)
Family,X,X. Theoretical Frameworks (OOO. Family & Theory),Parent-Child Coercion Theory,Parent-Child Coercion Theory,Gerald Patterson,X. Theoretical Frameworks (OOO. Family & Theory)
Family,X,X. Theoretical Frameworks (PPP. Family & Theory),Parental Alienation Theory,Parental Alienation Theory,Richard Gardner,X. Theoretical Frameworks (PPP. Family & Theory)
Family,X,X. Theoretical Frameworks (QQQ. Family & Theory),Adolescent Autonomy Granting Theory,Adolescent Autonomy Granting Theory,Laurence Steinberg,X. Theoretical Frameworks (QQQ. Family & Theory)
Family,X,X. Theoretical Frameworks (RRR. Family & Theory),Homeostatic Family Theory,Homeostatic Family Theory,Don D. Jackson,X. Theoretical Frameworks (RRR. Family & Theory)
Family,X,X. Theoretical Frameworks (SSS. Family & Theory),Scapegoating (Family Dynamics),Scapegoating (Family Dynamics),N/A (Common clinical observation),X. Theoretical Frameworks (SSS. Family & Theory)
Family,X,X. Theoretical Frameworks (TTT. Family & Theory),Family Life Education Theory,Family Life Education Theory,"N/A (Applied field, draws from multiple theories)",X. Theoretical Frameworks (TTT. Family & Theory)
Family,X,X. Theoretical Frameworks (UUU. Family & Theory),Intergenerational Ambivalence,Intergenerational Ambivalence,Karen Fingerman,X. Theoretical Frameworks (UUU. Family & Theory)
Family,X,X. Theoretical Frameworks (VVV. Family & Theory),Family Microaggressions,Family Microaggressions,Derald Wing Sue (applied to family),X. Theoretical Frameworks (VVV. Family & Theory)
Family,X,X. Theoretical Frameworks (WWW. Family & Theory),Family Storytelling (Therapy),Family Storytelling (Therapy),Monica McGoldrick,X. Theoretical Frameworks (WWW. Family & Theory)
Family,X,X. Theoretical Frameworks (XXX. Family & Theory),Family Leisure Theory,Family Leisure Theory,Fredrick M. Loomis,X. Theoretical Frameworks (XXX. Family & Theory)
Family,X,X. Theoretical Frameworks (YYY. Family & Theory),Family Meaning-Making,Family Meaning-Making,Froma Walsh,X. Theoretical Frameworks (YYY. Family & Theory)
Family,X,X. Theoretical Frameworks (ZZZ. Family & Theory),Family Strengths Perspective,Family Strengths Perspective,Nick Stinnett,X. Theoretical Frameworks (ZZZ. Family & Theory)
Psychology,I,I. Classical Psychological Traditions,A. Psychoanalytic Theories,Psychosexual Development Theory,Sigmund Freud,I. Classical Psychological Traditions
Psychology,I,I. Classical Psychological Traditions,A. Psychoanalytic Theories,"Id, Ego, Superego (Psychology)",Sigmund Freud,I. Classical Psychological Traditions
Psychology,I,I. Classical Psychological Traditions,A. Psychoanalytic Theories,Defense Mechanisms,Anna Freud,I. Classical Psychological Traditions
Psychology,I,I. Classical Psychological Traditions,A. Psychoanalytic Theories,Analytical Psychology (Individual),Carl Jung,I. Classical Psychological Traditions
Psychology,I,I. Classical Psychological Traditions,A. Psychoanalytic Theories,Individual Psychology (Adler),Alfred Adler,I. Classical Psychological Traditions
Psychology,I,I. Classical Psychological Traditions,B. Behavioral Theories,Classical Conditioning,Ivan Pavlov,I. Classical Psychological Traditions
Psychology,I,I. Classical Psychological Traditions,B. Behavioral Theories,Operant Conditioning,B.F. Skinner,I. Classical Psychological Traditions
Psychology,I,I. Classical Psychological Traditions,B. Behavioral Theories,Social Learning Theory (Psychology),Albert Bandura,I. Classical Psychological Traditions
Psychology,I,I. Classical Psychological Traditions,C. Humanistic Theories,Hierarchy of Needs,Abraham Maslow,I. Classical Psychological Traditions
Psychology,I,I. Classical Psychological Traditions,C. Humanistic Theories,Person-Centered Therapy / Actualizing Tendency,Carl Rogers,I. Classical Psychological Traditions
Psychology,I,I. Classical Psychological Traditions,C. Humanistic Theories,Existential Therapy,"Rollo May, Viktor Frankl",I. Classical Psychological Traditions
Psychology,II,II. Cognitive & Social-Cognitive Theories,A. Cognitive Processes,Cognitive Dissonance Theory (Psychology),Leon Festinger,II. Cognitive & Social-Cognitive Theories
Psychology,II,II. Cognitive,A. Cognitive Processes,Schema Theory (Cognition),"Frederic Bartlett, Aaron Beck",II. Cognitive & A. Cognitive Processes
Psychology,II,II. Cognitive,A. Cognitive Processes,Attribution Theory,"Fritz Heider, Bernard Weiner",II. Cognitive & A. Cognitive Processes
Psychology,II,II. Cognitive,B. Social Cognition,Self-Efficacy Theory,Albert Bandura,II. Cognitive & B. Social Cognition
Psychology,II,II. Cognitive,B. Social Cognition,Locus of Control,Julian Rotter,II. Cognitive & B. Social Cognition
Psychology,II,II. Cognitive,B. Social Cognition,Fundamental Attribution Error,Lee Ross,II. Cognitive & B. Social Cognition
Psychology,II,II. Cognitive,B. Social Cognition,Self-Serving Bias,N/A (Common cognitive bias),II. Cognitive & B. Social Cognition
Psychology,II,II. Cognitive,B. Social Cognition,Confirmation Bias,Peter Wason,II. Cognitive & B. Social Cognition
Psychology,III,III. Developmental Psychology Theories,A. Cognitive Development,Cognitive Development Theory (Piaget),Jean Piaget,III. Developmental Psychology Theories
Psychology,III,III. Developmental Psychology Theories,A. Cognitive Development,Sociocultural Theory (Development),Lev Vygotsky,III. Developmental Psychology Theories
Psychology,III,III. Developmental Psychology Theories,B. Psychosocial Development,Psychosocial Development Theory,Erik Erikson,III. Developmental Psychology Theories
Psychology,III,III. Developmental Psychology Theories,C. Moral Development,Moral Development Theory (Kohlberg),Lawrence Kohlberg,III. Developmental Psychology Theories
Psychology,III,III. Developmental Psychology Theories,D. Attachment & Social Development,Attachment Theory (Individual),"John Bowlby, Mary Ainsworth",III. Developmental Psychology Theories
Psychology,III,III. Developmental Psychology Theories,D. Attachment & Social Development,Social Referencing,Mary Klinnert,III. Developmental Psychology Theories
Psychology,IV,IV. Social Psychology Theories,A. Group Dynamics & Influence,Social Identity Theory,Henri Tajfel & John Turner,IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,A. Group Dynamics & Influence,Social Comparison Theory,Leon Festinger,IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,A. Group Dynamics & Influence,Conformity (Psychology),Solomon Asch,IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,A. Group Dynamics & Influence,Obedience to Authority,Stanley Milgram,IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,A. Group Dynamics & Influence,Groupthink (Psychology),Irving L. Janis,IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,B. Interpersonal Relationships,Social Penetration Theory,Irwin Altman & Dalmas Taylor,IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,B. Interpersonal Relationships,Social Exchange Theory (Relationships),John Thibaut & Harold Kelley,IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,B. Interpersonal Relationships,Equity Theory (Relationships),J. Stacy Adams,IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,B. Interpersonal Relationships,Interdependence Theory,Harold Kelley & John Thibaut,IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,C. Prejudice & Discrimination,Realistic Conflict Theory,Muzafer Sherif,IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,C. Prejudice & Discrimination,Social Learning Theory of Prejudice,Albert Bandura (applied to prejudice),IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,D. Prosocial Behavior,Bystander Effect,Bibb Latané & John Darley,IV. Social Psychology Theories
Psychology,IV,IV. Social Psychology Theories,D. Prosocial Behavior,Empathy-Altruism Hypothesis,C. Daniel Batson,IV. Social Psychology Theories
Psychology,V,V. Personality Theories,A. Trait Theories,Five-Factor Model (Big Five),Costa & McCrae,V. Personality Theories
Psychology,V,V. Personality Theories,A. Trait Theories,Trait Theory (General),"Gordon Allport, Raymond Cattell",V. Personality Theories
Psychology,V,V. Personality Theories,B. Psychodynamic (Neo-Freudian),Ego Psychology,"Heinz Hartmann, Erik Erikson",V. Personality Theories
Psychology,V,V. Personality Theories,B. Psychodynamic (Neo-Freudian),Object Relations Theory (Individual),"Melanie Klein, D.W. Winnicott",V. Personality Theories
Psychology,V,V. Personality Theories,C. Phenomenological & Existential,Self-Actualization (Psychology),"Carl Rogers, Abraham Maslow",V. Personality Theories
Psychology,V,V. Personality Theories,C. Phenomenological & Existential,Meaning-Making Theory (Psychology),Viktor Frankl,V. Personality Theories
Psychology,VI,VI. Abnormal Psychology & Clinical Theories,A. Diagnostic Models,Diathesis-Stress Model,Paul Meehl,VI. Abnormal Psychology & Clinical Theories
Psychology,VI,VI. Abnormal Psychology,A. Diagnostic Models,Biopsychosocial Model,George L. Engel,VI. Abnormal Psychology & A. Diagnostic Models
Psychology,VI,VI. Abnormal Psychology,B. Therapeutic Approaches,Cognitive Behavioral Therapy (CBT),"Aaron Beck, Albert Ellis",VI. Abnormal Psychology & B. Therapeutic Approaches
Psychology,VI,VI. Abnormal Psychology,B. Therapeutic Approaches,Dialectical Behavior Therapy (DBT),Marsha M. Linehan,VI. Abnormal Psychology & B. Therapeutic Approaches
Psychology,VI,VI. Abnormal Psychology,B. Therapeutic Approaches,Psychodynamic Therapy,"Otto Kernberg, Nancy McWilliams",VI. Abnormal Psychology & B. Therapeutic Approaches
Psychology,VI,VI. Abnormal Psychology,B. Therapeutic Approaches,Family Systems Therapy (Clinical),"Murray Bowen, Virginia Satir",VI. Abnormal Psychology & B. Therapeutic Approaches
Psychology,VI,VI. Abnormal Psychology,C. Specific Disorders,Learned Helplessness Theory,Martin Seligman,VI. Abnormal Psychology & C. Specific Disorders
Psychology,VII,VII. Positive Psychology Theories,A. Well-being & Flourishing,PERMA Model of Well-being,Martin Seligman,VII. Positive Psychology Theories
Psychology,VII,VII. Positive Psychology Theories,A. Well-being & Flourishing,Flow Theory,Mihaly Csikszentmihalyi,VII. Positive Psychology Theories
Psychology,VII,VII. Positive Psychology Theories,B. Character Strengths,Character Strengths and Virtues,Christopher Peterson & Martin Seligman,VII. Positive Psychology Theories
Psychology,VIII,VIII. Cognitive Science & Neuroscience (Psychology),A. Cognitive Processes (Advanced),Dual Process Theory (Cognition),"Daniel Kahneman, Amos Tversky",VIII. Cognitive Science & Neuroscience (Psychology)
Psychology,VIII,VIII. Cognitive Science,A. Cognitive Processes (Advanced),Theory of Mind,Simon Baron-Cohen,VIII. Cognitive Science & A. Cognitive Processes (Advanced)
Psychology,VIII,VIII. Cognitive Science,A. Cognitive Processes (Advanced),Embodied Cognition (Psychology),"George Lakoff, Mark Johnson",VIII. Cognitive Science & A. Cognitive Processes (Advanced)
Psychology,VIII,VIII. Cognitive Science,B. Neuroscience Approaches,Neuroplasticity,Donald Hebb,VIII. Cognitive Science & B. Neuroscience Approaches
Psychology,VIII,VIII. Cognitive Science,B. Neuroscience Approaches,Affective Neuroscience,Jaak Panksepp,VIII. Cognitive Science & B. Neuroscience Approaches
Psychology,IX,IX. Relationship & Interpersonal Theories (Advanced),A. Relational Dynamics,Self-Disclosure Theory,Sidney Jourard,IX. Relationship & Interpersonal Theories (Advanced)
Psychology,IX,IX. Relationship,A. Relational Dynamics,Social Support Theory (Individual),Sidney Cobb,IX. Relationship & A. Relational Dynamics
Psychology,IX,IX. Relationship,B. Couple & Family Dynamics,Gottman's Sound Relationship House,John Gottman,IX. Relationship & B. Couple & Family Dynamics
Psychology,IX,IX. Relationship,B. Couple & Family Dynamics,Conflict Styles (Relationships),"Kenneth Thomas, Ralph Kilmann",IX. Relationship & B. Couple & Family Dynamics
Psychology,IX,IX. Relationship,C. Love & Attraction,Triangular Theory of Love,Robert Sternberg,IX. Relationship & C. Love & Attraction
Psychology,IX,IX. Relationship,C. Love & Attraction,Social Exchange Theory of Attraction,N/A (Application of Social Exchange Theory),IX. Relationship & C. Love & Attraction
Psychology,IX,IX. Relationship,C. Love & Attraction,Matching Hypothesis (Relationships),Elaine Hatfield,IX. Relationship & C. Love & Attraction
Psychology,X,X. Critical & Applied Psychological Theories,A. Critical Psychology,Critical Psychology,Thomas Teo,X. Critical & Applied Psychological Theories
Psychology,X,X. Critical,A. Critical Psychology,Mad Studies (Psychology),"Jasna Russo, Peter Beresford",X. Critical & A. Critical Psychology
Psychology,X,X. Critical,B. Health Psychology,Health Belief Model,"Godfrey Hochbaum, Stephen Kegels",X. Critical & B. Health Psychology
Psychology,X,X. Critical,B. Health Psychology,Theory of Planned Behavior,Icek Ajzen,X. Critical & B. Health Psychology
Psychology,X,X. Critical,C. Environmental Psychology,Environmental Psychology,Roger Barker,X. Critical & C. Environmental Psychology
Psychology,X,X. Critical,C. Environmental Psychology,Place Attachment Theory,Irwin Altman,X. Critical & C. Environmental Psychology
Psychology,XI,XI. Emerging & Specialized Psychological Theories,A. Positive Youth Development,Positive Youth Development,Richard M. Lerner,XI. Emerging & Specialized Psychological Theories
Psychology,XI,XI. Emerging,B. Cross-Cultural Psychology,Cultural Psychology,"Richard Shweder, Hazel Rose Markus",XI. Emerging & B. Cross-Cultural Psychology
Psychology,XI,XI. Emerging,C. Social Neuroscience,Social Neuroscience,"John Cacioppo, Gary Berntson",XI. Emerging & C. Social Neuroscience
Psychology,XI,XI. Emerging,D. Evolutionary Psychology,Evolutionary Psychology,"David Buss, Leda Cosmides, John Tooby",XI. Emerging & D. Evolutionary Psychology
Psychology,XI,XI. Emerging,E. Psychology of Technology,Cyberpsychology,John Suler,XI. Emerging & E. Psychology of Technology
Psychology,XI,XI. Emerging,F. Psychology of Well-being,Self-Determination Theory,Edward L. Deci & Richard M. Ryan,XI. Emerging & F. Psychology of Well-being
Psychology,XI,XI. Emerging,F. Psychology of Well-being,Broaden-and-Build Theory of Positive Emotions,Barbara L. Fredrickson,XI. Emerging & F. Psychology of Well-being
Psychology,XII,XII. Counseling & Therapeutic Theories (Specific),A. Psychodynamic (Advanced),Transference-Focused Psychotherapy (TFP),Otto F. Kernberg,XII. Counseling & Therapeutic Theories (Specific)
Psychology,XII,XII. Counseling,A. Psychodynamic (Advanced),Relational Psychoanalysis,Stephen A. Mitchell,XII. Counseling & A. Psychodynamic (Advanced)
Psychology,XII,XII. Counseling,B. Cognitive (Advanced),Rational Emotive Behavior Therapy (REBT),Albert Ellis,XII. Counseling & B. Cognitive (Advanced)
Psychology,XII,XII. Counseling,B. Cognitive (Advanced),Schema Therapy,Jeffrey Young,XII. Counseling & B. Cognitive (Advanced)
Psychology,XII,XII. Counseling,C. Humanistic (Advanced),Gestalt Therapy,Fritz Perls,XII. Counseling & C. Humanistic (Advanced)
Psychology,XII,XII. Counseling,C. Humanistic (Advanced),Existential-Humanistic Therapy,James Bugental,XII. Counseling & C. Humanistic (Advanced)
Psychology,XII,XII. Counseling,D. Systemic (Advanced),Solution-Focused Brief Therapy (SFBT),"Steve de Shazer, Insoo Kim Berg",XII. Counseling & D. Systemic (Advanced)
Psychology,XII,XII. Counseling,D. Systemic (Advanced),Narrative Therapy (Psychology),"Michael White, David Epston",XII. Counseling & D. Systemic (Advanced)
Psychology,XII,XII. Counseling,D. Systemic (Advanced),Milan Systemic Family Therapy (Individual),Mara Selvini Palazzoli (applied to individual),XII. Counseling & D. Systemic (Advanced)
Psychology,XIII,XIII. Social Psychology (Advanced),A. Social Influence,Social Impact Theory,Bibb Latané,XIII. Social Psychology (Advanced)
Psychology,XIII,XIII. Social Psychology,A. Social Influence,Reactance Theory,Jack Brehm,XIII. Social Psychology & A. Social Influence
Psychology,XIII,XIII. Social Psychology,B. Attitudes & Persuasion,Elaboration Likelihood Model (ELM),Richard E. Petty & John Cacioppo,XIII. Social Psychology & B. Attitudes & Persuasion
Psychology,XIII,XIII. Social Psychology,B. Attitudes & Persuasion,Cognitive Consistency Theory,Fritz Heider,XIII. Social Psychology & B. Attitudes & Persuasion
Psychology,XIII,XIII. Social Psychology,C. Self & Identity,Self-Verification Theory,William Swann Jr.,XIII. Social Psychology & C. Self & Identity
Psychology,XIII,XIII. Social Psychology,C. Self & Identity,Possible Selves Theory,Hazel Markus & Paula Nurius,XIII. Social Psychology & C. Self & Identity
Psychology,XIII,XIII. Social Psychology,D. Group Relations,Social Categorization Theory,John Turner,XIII. Social Psychology & D. Group Relations
Psychology,XIV,XIV. Health Psychology (Advanced),A. Stress & Coping,Transactional Model of Stress and Coping,Richard Lazarus & Susan Folkman,XIV. Health Psychology (Advanced)
Psychology,XIV,XIV. Health Psychology,A. Stress & Coping,General Adaptation Syndrome (GAS),Hans Selye,XIV. Health Psychology & A. Stress & Coping
Psychology,XIV,XIV. Health Psychology,B. Chronic Illness,Self-Regulation Theory (Health),Albert Bandura (applied to health),XIV. Health Psychology & B. Chronic Illness
Psychology,XV,XV. Developmental Psychology (Advanced),A. Early Childhood,Theory of Mind (Development),Alison Gopnik,XV. Developmental Psychology (Advanced)
Psychology,XV,XV. Developmental Psychology,B. Adolescence,Identity Status Theory (Adolescence),James Marcia,XV. Developmental Psychology & B. Adolescence
Psychology,XV,XV. Developmental Psychology,C. Adulthood & Aging,Socioemotional Selectivity Theory (Aging),Laura L. Carstensen,XV. Developmental Psychology & C. Adulthood & Aging
Psychology,XVI,XVI. Cross-Cultural & Cultural Psychology,A. Cultural Influences,Cultural Dimensions Theory (Hofstede),Geert Hofstede,XVI. Cross-Cultural & Cultural Psychology
Psychology,XVI,XVI. Cross-Cultural,A. Cultural Influences,Independent vs. Interdependent Self-Construal,Hazel Rose Markus & Shinobu Kitayama,XVI. Cross-Cultural & A. Cultural Influences
Psychology,XVII,XVII. Cognitive Psychology (Advanced),A. Memory,Working Memory Model,Alan Baddeley & Graham Hitch,XVII. Cognitive Psychology (Advanced)
Psychology,XVII,XVII. Cognitive Psychology,A. Memory,Levels of Processing Theory (Memory),Fergus Craik & Robert Lockhart,XVII. Cognitive Psychology & A. Memory
Psychology,XVII,XVII. Cognitive Psychology,B. Decision Making,Prospect Theory,Daniel Kahneman & Amos Tversky,XVII. Cognitive Psychology & B. Decision Making
Psychology,XVII,XVII. Cognitive Psychology,B. Decision Making,Bounded Rationality,Herbert A. Simon,XVII. Cognitive Psychology & B. Decision Making
Psychology,XVIII,XVIII. Environmental Psychology (Advanced),A. Stress & Environment,Restoration Theory (Environmental),Rachel Kaplan & Stephen Kaplan,XVIII. Environmental Psychology (Advanced)
Psychology,XVIII,XVIII. Environmental Psychology,A. Stress & Environment,Stress Reduction Theory (SRT),Roger S. Ulrich,XVIII. Environmental Psychology & A. Stress & Environment
Psychology,XIX,XIX. Evolutionary Psychology (Advanced),A. Mate Selection,Parental Investment Theory,Robert Trivers,XIX. Evolutionary Psychology (Advanced)
Psychology,XIX,XIX. Evolutionary Psychology,A. Mate Selection,Sexual Strategies Theory,David Buss,XIX. Evolutionary Psychology & A. Mate Selection
Psychology,XX,XX. Personality Psychology (Advanced),A. Psychodynamic (Contemporary),Interpersonal Psychoanalysis,Harry Stack Sullivan,XX. Personality Psychology (Advanced)
Psychology,XX,XX. Personality Psychology,B. Trait (Beyond Big Five),HEXACO Model of Personality,Kibeom Lee & Michael C. Ashton,XX. Personality Psychology & B. Trait (Beyond Big Five)
Psychology,XXI,XXI. Health & Clinical Psychology (Advanced),A. Addiction,Addiction as a Disease Model,N/A (Medical model),XXI. Health & Clinical Psychology (Advanced)
Psychology,XXI,XXI. Health,A. Addiction,Self-Medication Hypothesis (Addiction),Edward Khantzian,XXI. Health & A. Addiction
Psychology,XXI,XXI. Health,B. Trauma & Resilience,Polyvagal Theory (Trauma),Stephen Porges,XXI. Health & B. Trauma & Resilience
Psychology,XXI,XXI. Health,B. Trauma & Resilience,Somatic Experiencing (Trauma Therapy),Peter A. Levine,XXI. Health & B. Trauma & Resilience
Psychology,XXII,XXII. Social Psychology (Beyond Basic),A. Social Influence (Advanced),Social Norms Theory,"Cialdini, Kallgren, Reno",XXII. Social Psychology (Beyond Basic)
Psychology,XXII,XXII. Social Psychology,A. Social Influence (Advanced),Theory of Reasoned Action (TRA),Martin Fishbein & Icek Ajzen,XXII. Social Psychology & A. Social Influence (Advanced)
Psychology,XXII,XXII. Social Psychology,B. Persuasion,Reciprocity Principle (Persuasion),Robert Cialdini,XXII. Social Psychology & B. Persuasion
Psychology,XXII,XXII. Social Psychology,B. Persuasion,Opportunities seem more valuable when their availability is limited.,,XXII. Social Psychology & B. Persuasion
Psychology,XXII,XXII. Social Psychology,C. Group Dynamics,Social Loafing,Max Ringelmann,XXII. Social Psychology & C. Group Dynamics
Psychology,XXII,XXII. Social Psychology,C. Group Dynamics,Deindividuation Theory,"Leon Festinger, Philip Zimbardo",XXII. Social Psychology & C. Group Dynamics
Psychology,XXIII,XXIII. Cognitive Neuroscience (Applied),A. Decision Making,Reward Prediction Error (Neuroscience),Wolfram Schultz,XXIII. Cognitive Neuroscience (Applied)
Psychology,XXIII,XXIII. Cognitive Neuroscience,B. Emotion & Regulation,Emotion Regulation Strategies,James J. Gross,XXIII. Cognitive Neuroscience & B. Emotion & Regulation
Psychology,XXIV,XXIV. Positive Psychology (Specific Applications),A. Meaning & Purpose,Search for Meaning Theory,Viktor Frankl,XXIV. Positive Psychology (Specific Applications)
