theorist,source,harvested_concepts
David B. Morris,DB,1
G. Thomas Couser,DB,1
CDC,DB,1
Carolyn Wiener,DB,1
Sherwin B. Nuland,DB,1
Lawrence Gostin,DB,1
Cho Hae-joang,DB,1
Dai Jinhua,DB,1
Kim Soyoung,DB,1
Kuan-Hsing Chen,DB,1
Wang Hui,DB,1
Aihwa Ong,Ours,1
Alain Badiou,Ours,1
Alice Miller,Ours,1
Anders Albrechtslund,Ours,1
Andrea O'Reilly,Ours,1
Andreas Malm,Ours,1
Andrew Chadwick,Ours,1
André Bazin,Ours,1
André Leon Talley,Ours,1
Angela Davis,Ours,1
Anne Allison,Ours,1
Annette Hill,Ours,1
Ashis Nandy,Ours,1
Barbara Browning,Ours,1
Beatriz Sarlo,Ours,1
Bella DePaulo,Ours,1
Benedict Anderson,Ours,1
William L. Benoit,Ours,1
Anita Biressi & Heather Nunn,Ours,1
Bishnupriya Ghosh,Ours,1
Brené Brown,Ours,1
C. Lee Harrington,Ours,1
C.L.R. James,Ours,1
Chie Nakane,Ours,1
Chris Anderson,Ours,1
Christian Fuchs,Ours,1
Christie Davies,Ours,1
Christina Klein,Ours,1
Christophe Dejours,Ours,1
Christophe Jaffrelot,Ours,1
Christopher Lasch,Ours,1
Cihan Tugal,Ours,1
Cinzia Arruzza,Ours,1
Colin Dickey,Ours,1
Corey Robin,Ours,1
Daisuke Miyao,Ours,1
Dal Yong Jin,Ours,1
Daniel Trottier,Ours,1
Daphne A. Brooks,Ours,1
David J. Leonard,Ours,1
Deena Weinstein,Ours,1
Diane Negra,Ours,1
Diane Vaughan,Ours,1
Donald Horton & R. Richard Wohl,Ours,1
Edward Luttwak,Ours,1
Elena Gorfinkel,Ours,1
Elijah Anderson,Ours,1
Elisabeth Badinter,Ours,1
Elisabeth Beck-Gernsheim,Ours,1
Elisabeth Noelle-Neumann,Ours,1
Elizabeth Wilson,Ours,1
Emma Dalton,Ours,1
Ethan Scheiner,Ours,1
Evan Stark,Ours,1
