theorist,concept,part,major,sub,source_title
Lisa F. Berkman,Social Support and Family Health,Family,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",A. 가족 부담·정신건강 (Family Burden & Mental Health),CSV
Charlotte J. Patterson,LGBTQ+ Parenting Theory,Family,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",C. 퀴어·LGBTQ+ 가족 (Queer & LGBTQ+ Family),CSV
Sophie Lewis,Family Abolition (Critical Theory),Family,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),CSV
Loretta Ross,Reproductive Justice,Family,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),CSV
Joyce L. Epstein,Parental Involvement Theory (Education),Family,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",A. 아동중심·양육 (Child-Centered & Parenting),CSV
R.S. Schofield,Historical Demography,Family,친족·인류학 (Kinship & Anthropology),C. 효·세대 문화 (Filial Piety & Generational Culture),CSV
Deborah Gold,Chronic Sorrow,Family,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",B. 가족 스트레스·만성 슬픔 (Family Stress & Chronic Sorrow),CSV
Suzanne C. Ouellette,Hardiness,Family,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",C. 가족 회복탄력성·강인성 (Family Resilience & Hardiness),CSV
Jay Haley,Strategic Family Therapy,Family,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),CSV
Cloe Madanes,Strategic Family Therapy,Family,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),CSV
Mara Selvini Palazzoli,Milan Systemic Family Therapy,Family,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),CSV
Mara Selvini Palazzoli,Milan Systemic Family Therapy (Individual),Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,CSV
Maggie Schauer,Narrative Exposure Therapy,Family,가족치료 실천 모델 (Family Therapy Practice Models),A. 전략적·구조적 가족치료 (Strategic & Structural),CSV
Richard C. Schwartz,Internal Family Systems (IFS),Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),B. 대상관계·내적가족체계 (Object Relations & IFS),CSV
Janet R. Finch,Critical Family Studies,Family,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",B. 교차성·서사적 가족치료 (Intersectionality & Narrative),CSV
Alfred D. Chandler Jr.,Familial Capitalism,Family,가족사회학·구조 (Family Sociology & Structure),C. 가족제도·자본주의 (Family Institution & Capitalism),CSV
Kath Weston,Chosen Families,Family,친족·인류학 (Kinship & Anthropology),B. 신친족연구·선택가족 (New Kinship & Chosen Families),CSV
Janet Carsten,New Kinship Studies,Family,친족·인류학 (Kinship & Anthropology),B. 신친족연구·선택가족 (New Kinship & Chosen Families),CSV
Evan Imber-Black,Family Rituals,Family,"결혼·친밀성·짝짓기 이론 (Marriage, Intimacy & Mating)",C. 가족 정체성·의례 (Family Identity & Rituals),CSV
Mary Anne Fitzpatrick,Family Communication Patterns Theory,Family,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),B. 의사소통·구조적 가족치료 (Communication & Structural Therapy),CSV
E. Mavis Hetherington,Interparental Conflict Theory,Family,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),C. 항상성·하위체계 (Homeostasis & Subsystems),CSV
Gerald Patterson,Parent-Child Coercion Theory,Family,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",C. 부모-자녀 상호작용·자율성 (Parent-Child Interaction & Autonomy),CSV
Richard Gardner,Parental Alienation Theory,Family,"이혼·재구성가족·법 (Divorce, Stepfamily & Law)",C. 부모 소외·재구성가족 (Parental Alienation & Reconstitution),CSV
Karen Fingerman,Intergenerational Ambivalence,Family,보웬 세대간 가족이론 (Bowenian Multigenerational Theory),C. 세대간 양가성·연대 (Intergenerational Ambivalence & Solidarity),CSV
Monica McGoldrick,Family Storytelling (Therapy),Family,가족치료 실천 모델 (Family Therapy Practice Models),B. 서사·이야기 치료 (Narrative & Storytelling Therapy),CSV
Fredrick M. Loomis,Family Leisure Theory,Family,디지털 시대 가족·여가 (Digital Age Family & Leisure),C. 가족 여가 (Family Leisure),CSV
Nick Stinnett,Family Strengths Perspective,Family,가족치료 실천 모델 (Family Therapy Practice Models),C. 가족생활교육·강점 (Family Life Education & Strengths),CSV
Alfred Adler,Individual Psychology (Adler),Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,CSV
Ivan Pavlov,Classical Conditioning,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,CSV
Carl Rogers,Person-Centered Therapy / Actualizing Tendency,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,CSV
Carl Rogers,Self-Actualization,Psychology,Personality,A. Trait Theories,CSV
Carl Rogers,Therapeutic Alliance Theory,Psychology,Clinical & Psychopathology,B. Psychotherapy,CSV
Carl Rogers,Ideal Self vs. Real Self,Psychology,Personality,C. Self & Self-Concept,CSV
Rollo May,Existential Therapy,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,CSV
Rollo May,Existential Psychology,Critics,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,CSV
Viktor Frankl,Existential Therapy,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,CSV
Viktor Frankl,Meaning-Making Theory,Psychology,Personality,A. Trait Theories,CSV
Viktor Frankl,Search for Meaning Theory,Psychology,Positive Psychology,A. Well-being Models,CSV
Viktor Frankl,Logotherapy,Psychology,Counseling & Psychotherapy,B. Humanistic & Existential,CSV
Viktor Frankl,Existential Psychology,Critics,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,CSV
Frederic Bartlett,Schema Theory (Cognition),Psychology,Cognitive,A. Social-Cognitive Theory,CSV
Frederic Bartlett,Constructive Memory,Psychology,Cognitive,B. Memory & Attention,CSV
Aaron Beck,Schema Theory (Cognition),Psychology,Cognitive,A. Social-Cognitive Theory,CSV
Aaron Beck,Cognitive Behavioral Therapy (CBT),Psychology,Clinical & Psychopathology,A. Models of Psychopathology,CSV
Fritz Heider,Attribution Theory,Psychology,Cognitive,A. Social-Cognitive Theory,CSV
Fritz Heider,Cognitive Consistency Theory,Psychology,Social Psychology,B. Attitudes & Persuasion,CSV
Julian Rotter,Locus of Control,Psychology,Cognitive,A. Social-Cognitive Theory,CSV
Lee Ross,Fundamental Attribution Error,Psychology,Cognitive,A. Social-Cognitive Theory,CSV
Peter Wason,Confirmation Bias,Psychology,Cognitive,A. Social-Cognitive Theory,CSV
Jean Piaget,Cognitive Development Theory (Piaget),Psychology,Developmental,A. Cognitive & Moral Development,CSV
Jean Piaget,Play Theory (Developmental),Psychology,Developmental,B. Lifespan Development,CSV
Lev Vygotsky,Sociocultural Theory (Development),Psychology,Developmental,A. Cognitive & Moral Development,CSV
Lev Vygotsky,Play Theory (Developmental),Psychology,Developmental,B. Lifespan Development,CSV
Lev Vygotsky,Interactionist Theory of Language Acquisition,Psychology,Cognitive,B. Memory & Attention,CSV
Erik Erikson,Psychosocial Development Theory,Psychology,Developmental,A. Cognitive & Moral Development,CSV
Erik Erikson,Ego Psychology,Psychology,Personality,A. Trait Theories,CSV
Erik Erikson,Generativity vs. Stagnation,Psychology,Developmental,B. Lifespan Development,CSV
Mary Klinnert,Social Referencing,Psychology,Developmental,A. Cognitive & Moral Development,CSV
Solomon Asch,Conformity,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Stanley Milgram,Obedience to Authority,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Irwin Altman,Social Penetration Theory,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Irwin Altman,Place Attachment Theory,Psychology,"Critical, Cultural & Environmental",A. Critical & Health Belief,CSV
Dalmas Taylor,Social Penetration Theory,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Harold Kelley,Social Exchange Theory (Relationships),Psychology,Social Psychology,A. Identity & Intergroup,CSV
Harold Kelley,Interdependence Theory,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Harold Kelley,Outcome Interdependence,Psychology,Relationship & Interpersonal,B. Interdependence & Commitment,CSV
Harold Kelley,Comparison Level (Relationships),Psychology,Relationship & Interpersonal,B. Interdependence & Commitment,CSV
Muzafer Sherif,Realistic Conflict Theory,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Bibb Latané,Bystander Effect,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Bibb Latané,Social Impact Theory,Psychology,Social Psychology,A. Identity & Intergroup,CSV
John Darley,Bystander Effect,Psychology,Social Psychology,A. Identity & Intergroup,CSV
C. Daniel Batson,Empathy-Altruism Hypothesis,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Costa,Five-Factor Model (Big Five),Psychology,Personality,A. Trait Theories,CSV
McCrae,Five-Factor Model (Big Five),Psychology,Personality,A. Trait Theories,CSV
Gordon Allport,Trait Theory (General),Psychology,Personality,A. Trait Theories,CSV
Gordon Allport,Contact Hypothesis,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Raymond Cattell,Trait Theory (General),Psychology,Personality,A. Trait Theories,CSV
Heinz Hartmann,Ego Psychology,Psychology,Personality,A. Trait Theories,CSV
Melanie Klein,Object Relations Theory (Individual),Psychology,Personality,A. Trait Theories,CSV
Melanie Klein,Kleinian Criticism,Critics,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,CSV
Melanie Klein,Object Relations Criticism,Critics,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,CSV
D.W. Winnicott,Object Relations Theory (Individual),Psychology,Personality,A. Trait Theories,CSV
D.W. Winnicott,Object Relations Criticism,Critics,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,CSV
Paul Meehl,Diathesis-Stress Model,Psychology,Clinical & Psychopathology,A. Models of Psychopathology,CSV
George L. Engel,Biopsychosocial Model,Psychology,Clinical & Psychopathology,A. Models of Psychopathology,CSV
Albert Ellis,Cognitive Behavioral Therapy (CBT),Psychology,Clinical & Psychopathology,A. Models of Psychopathology,CSV
Albert Ellis,Rational Emotive Behavior Therapy (REBT),Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,CSV
Marsha M. Linehan,Dialectical Behavior Therapy (DBT),Psychology,Clinical & Psychopathology,A. Models of Psychopathology,CSV
Marsha M. Linehan,Biosocial Theory of Borderline Personality Disorder,Psychology,Clinical & Psychopathology,A. Models of Psychopathology,CSV
Otto Kernberg,Psychodynamic Therapy,Psychology,Clinical & Psychopathology,A. Models of Psychopathology,CSV
Martin Seligman,Learned Helplessness Theory,Psychology,Clinical & Psychopathology,A. Models of Psychopathology,CSV
Martin Seligman,PERMA Model of Well-being,Psychology,Positive Psychology,A. Well-being Models,CSV
Martin Seligman,Character Strengths and Virtues,Psychology,Positive Psychology,A. Well-being Models,CSV
Martin Seligman,Strengths-Based Interventions,Psychology,Positive Psychology,C. Resilience & Interventions,CSV
Martin Seligman,Learned Helplessness,Psychology,Positive Psychology,A. Well-being Models,OurList
Martin Seligman,Positive Psychology,Psychology,Positive Psychology,A. Well-being Models,OurList
Martin Seligman,Flourish,Psychology,Positive Psychology,A. Well-being Models,OurList
Christopher Peterson,Character Strengths and Virtues,Psychology,Positive Psychology,A. Well-being Models,CSV
Simon Baron-Cohen,Theory of Mind,Psychology,Cognitive Science & Neuroscience,A. Cognitive Science,CSV
Simon Baron-Cohen,Gaze Following (Human Ethology),Nature,Ethology & Human-Animal Studies,A. Human Ethology & Nonverbal Signals,CSV
George Lakoff,Embodied Cognition,Psychology,Cognitive Science & Neuroscience,A. Cognitive Science,CSV
George Lakoff,Conceptual Metaphor Theory,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,CSV
George Lakoff,Embodied Cognition (Biological),Nature,"Biological Bases of Language, Cognition & Aesthetics",B. Embodied & Biological Cognition,CSV
Mark Johnson,Embodied Cognition,Psychology,Cognitive Science & Neuroscience,A. Cognitive Science,CSV
Mark Johnson,Conceptual Metaphor Theory,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,CSV
Mark Johnson,Embodied Cognition (Biological),Nature,"Biological Bases of Language, Cognition & Aesthetics",B. Embodied & Biological Cognition,CSV
Jaak Panksepp,Affective Neuroscience,Psychology,Cognitive Science & Neuroscience,A. Cognitive Science,CSV
Sidney Jourard,Self-Disclosure Theory,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,CSV
John Gottman,Gottman's Sound Relationship House,Psychology,Relationship & Interpersonal,A. Love & Attachment,CSV
John Gottman,Demand/Withdraw Pattern,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,CSV
John Gottman,Repair Attempts (Relationships),Psychology,Relationship & Interpersonal,C. Communication & Maintenance,CSV
John Gottman,Four Horsemen of the Apocalypse (Relationships),Psychology,Relationship & Interpersonal,C. Communication & Maintenance,CSV
John Gottman,Negative Reciprocity (Relationships),Psychology,Relationship & Interpersonal,C. Communication & Maintenance,CSV
Robert Sternberg,Triangular Theory of Love,Psychology,Relationship & Interpersonal,A. Love & Attachment,CSV
Robert Sternberg,Triarchic Theory of Intelligence,Psychology,Relationship & Interpersonal,Love & Attachment,OurList
Robert Sternberg,WICS Model,Psychology,Relationship & Interpersonal,Love & Attachment,OurList
Elaine Hatfield,Matching Hypothesis (Relationships),Psychology,Relationship & Interpersonal,A. Love & Attachment,CSV
Thomas Teo,Critical Psychology,Psychology,"Critical, Cultural & Environmental",A. Critical & Health Belief,CSV
Peter Beresford,Mad Studies,Psychology,"Critical, Cultural & Environmental",A. Critical & Health Belief,CSV
Godfrey Hochbaum,Health Belief Model,Psychology,"Critical, Cultural & Environmental",A. Critical & Health Belief,CSV
Godfrey Hochbaum,Health Belief Model (Public Health),Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,CSV
Stephen Kegels,Health Belief Model,Psychology,"Critical, Cultural & Environmental",A. Critical & Health Belief,CSV
Stephen Kegels,Health Belief Model (Public Health),Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,CSV
Roger Barker,Environmental Psychology,Psychology,"Critical, Cultural & Environmental",A. Critical & Health Belief,CSV
Richard M. Lerner,Positive Youth Development,Psychology,Emerging & Contemporary,B. Applied & Specialized,CSV
Richard Shweder,Cultural Psychology,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,CSV
Hazel Rose Markus,Cultural Psychology,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,CSV
Hazel Rose Markus,Independent vs. Interdependent Self-Construal,Psychology,"Critical, Cultural & Environmental",B. Cross-Cultural,CSV
Hazel Rose Markus,Cultural Self Theory,Culture,Cultural Sociology,D. Cultural Psychology & Self,CSV
Gary Berntson,Social Neuroscience,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,CSV
Gary Berntson,Social Neuroscience (General),Nature,Neurobiology & Neuroscience,A. Neuroplasticity & Systems,CSV
David Buss,Evolutionary Psychology,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,CSV
David Buss,Sexual Strategies Theory,Psychology,Evolutionary Psychology,A. Mating & Selection,CSV
David Buss,Individual Differences (Evolutionary),Psychology,Personality,A. Trait Theories,CSV
David Buss,Evolutionary Psychology (General),Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
David Buss,Sexual Strategies Theory (Evolutionary),Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
David Buss,Mate Preference Theory (Evolutionary),Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
Leda Cosmides,Evolutionary Psychology,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,CSV
Leda Cosmides,Cheater Detection Module,Psychology,Evolutionary Psychology,B. Cooperation & Altruism,CSV
Leda Cosmides,Evolutionary Psychology (General),Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
Leda Cosmides,Massive Modularity Hypothesis,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
Leda Cosmides,Environment of Evolutionary Adaptedness (EEA),Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
Leda Cosmides,Cheater Detection Module Theory,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
Leda Cosmides,Coalitionary Psychology,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
John Tooby,Evolutionary Psychology,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,CSV
John Tooby,Cheater Detection Module,Psychology,Evolutionary Psychology,B. Cooperation & Altruism,CSV
John Tooby,Evolutionary Psychology (General),Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
John Tooby,Massive Modularity Hypothesis,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
John Tooby,Environment of Evolutionary Adaptedness (EEA),Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
John Tooby,Cheater Detection Module Theory,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
John Tooby,Coalitionary Psychology,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
John Suler,Cyberpsychology,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,CSV
Edward L. Deci,Self-Determination Theory,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,CSV
Edward L. Deci,Self-Determination Theory (Health),Medicine,Psychology of Health & Illness,A. Health Behavior & Self-Regulation,CSV
Richard M. Ryan,Self-Determination Theory,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,CSV
Richard M. Ryan,Self-Determination Theory (Health),Medicine,Psychology of Health & Illness,A. Health Behavior & Self-Regulation,CSV
Barbara L. Fredrickson,Broaden-and-Build Theory of Positive Emotions,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,CSV
Otto F. Kernberg,Transference-Focused Psychotherapy (TFP),Psychology,Psychoanalytic & Psychodynamic,C. Psychodynamic Therapy,CSV
Stephen A. Mitchell,Relational Psychoanalysis,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,CSV
Jeffrey Young,Schema Therapy,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,CSV
Fritz Perls,Gestalt Therapy,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,CSV
James Bugental,Existential-Humanistic Therapy,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,CSV
Steve de Shazer,Solution-Focused Brief Therapy (SFBT),Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,CSV
Steve de Shazer,Solution-Building,Psychology,Clinical & Psychopathology,B. Psychotherapy,CSV
Steve de Shazer,Miracle Question (Therapy),Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,CSV
Insoo Kim Berg,Solution-Focused Brief Therapy (SFBT),Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,CSV
Insoo Kim Berg,Solution-Building,Psychology,Clinical & Psychopathology,B. Psychotherapy,CSV
Michael White,Narrative Therapy,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,CSV
David Epston,Narrative Therapy,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,CSV
Jack Brehm,Reactance Theory,Psychology,Social Psychology,B. Attitudes & Persuasion,CSV
William Swann Jr.,Self-Verification Theory,Psychology,Social Psychology,B. Attitudes & Persuasion,CSV
Hazel Markus,Possible Selves Theory,Psychology,Social Psychology,B. Attitudes & Persuasion,CSV
Paula Nurius,Possible Selves Theory,Psychology,Social Psychology,B. Attitudes & Persuasion,CSV
Richard Lazarus,Transactional Model of Stress and Coping,Psychology,Health Psychology,A. Stress & Coping,CSV
Richard Lazarus,Problem-Focused Coping,Psychology,Health Psychology,A. Stress & Coping,CSV
Richard Lazarus,Emotion-Focused Coping,Psychology,Health Psychology,A. Stress & Coping,CSV
Richard Lazarus,Stress and Coping Theory (Health),Medicine,Psychology of Health & Illness,A. Health Behavior & Self-Regulation,CSV
Susan Folkman,Transactional Model of Stress and Coping,Psychology,Health Psychology,A. Stress & Coping,CSV
Susan Folkman,Problem-Focused Coping,Psychology,Health Psychology,A. Stress & Coping,CSV
Susan Folkman,Emotion-Focused Coping,Psychology,Health Psychology,A. Stress & Coping,CSV
Susan Folkman,Stress and Coping Theory (Health),Medicine,Psychology of Health & Illness,A. Health Behavior & Self-Regulation,CSV
Alison Gopnik,Theory of Mind (Development),Psychology,Developmental,A. Cognitive & Moral Development,CSV
James Marcia,Identity Status Theory (Adolescence),Psychology,Developmental,B. Lifespan Development,CSV
Laura L. Carstensen,Socioemotional Selectivity Theory (Aging),Psychology,Developmental,B. Lifespan Development,CSV
Shinobu Kitayama,Independent vs. Interdependent Self-Construal,Psychology,"Critical, Cultural & Environmental",B. Cross-Cultural,CSV
Shinobu Kitayama,Cultural Self Theory,Culture,Cultural Sociology,D. Cultural Psychology & Self,CSV
Alan Baddeley,Working Memory Model,Psychology,Cognitive,B. Memory & Attention,CSV
Graham Hitch,Working Memory Model,Psychology,Cognitive,B. Memory & Attention,CSV
Fergus Craik,Levels of Processing Theory (Memory),Psychology,Cognitive,C. Decision-Making & Heuristics,CSV
Robert Lockhart,Levels of Processing Theory (Memory),Psychology,Cognitive,C. Decision-Making & Heuristics,CSV
Rachel Kaplan,Restoration Theory (Environmental),Psychology,"Critical, Cultural & Environmental",C. Environmental,CSV
Rachel Kaplan,Attention Restoration Theory,Psychology,"Critical, Cultural & Environmental",C. Environmental,CSV
Stephen Kaplan,Restoration Theory (Environmental),Psychology,"Critical, Cultural & Environmental",C. Environmental,CSV
Stephen Kaplan,Attention Restoration Theory,Psychology,"Critical, Cultural & Environmental",C. Environmental,CSV
Roger S. Ulrich,Stress Reduction Theory (SRT),Psychology,"Critical, Cultural & Environmental",C. Environmental,CSV
Robert Trivers,Parental Investment Theory,Psychology,Evolutionary Psychology,A. Mating & Selection,CSV
Robert Trivers,Reciprocal Altruism,Psychology,Evolutionary Psychology,B. Cooperation & Altruism,CSV
Robert Trivers,Reciprocal Altruism Theory,Nature,Evolutionary Theory & Human Origins,A. Selection & Adaptation,CSV
Robert Trivers,Reciprocal Altruism (Evolutionary Psychology),Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,CSV
Harry Stack Sullivan,Interpersonal Psychoanalysis,Psychology,Psychoanalytic & Psychodynamic,B. Object Relations & Self,CSV
Kibeom Lee,HEXACO Model of Personality,Psychology,Personality,A. Trait Theories,CSV
Michael C. Ashton,HEXACO Model of Personality,Psychology,Personality,A. Trait Theories,CSV
Edward Khantzian,Self-Medication Hypothesis (Addiction),Psychology,Health Psychology,C. Addiction & Health Behavior,CSV
Stephen Porges,Polyvagal Theory (Trauma),Psychology,Health Psychology,C. Addiction & Health Behavior,CSV
Stephen Porges,Polyvagal Theory,Nature,Neurobiology & Neuroscience,A. Neuroplasticity & Systems,CSV
Peter A. Levine,Somatic Experiencing (Trauma Therapy),Psychology,Health Psychology,C. Addiction & Health Behavior,CSV
Cialdini,Social Norms Theory,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Kallgren,Social Norms Theory,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Reno,Social Norms Theory,Psychology,Social Psychology,A. Identity & Intergroup,CSV
Robert Cialdini,Reciprocity Principle (Persuasion),Psychology,Social Psychology,B. Attitudes & Persuasion,CSV
Robert Cialdini,Social Proof Principle (Persuasion),Psychology,Social Psychology,B. Attitudes & Persuasion,CSV
Robert Cialdini,Door-in-the-Face Technique,Psychology,Social Psychology,B. Attitudes & Persuasion,CSV
Robert Cialdini,Social Norms and Environmental Behavior,Economics,Development & Environmental Economics,Environmental & Resource Economics,CSV
Philip Zimbardo,Deindividuation Theory,Psychology,Social Psychology,B. Attitudes & Persuasion,CSV
Wolfram Schultz,Reward Prediction Error (Neuroscience),Psychology,Cognitive Science & Neuroscience,B. Neuroscience,CSV
Wolfram Schultz,Dopamine and Learning Theory,Nature,Neurobiology & Neuroscience,B. Memory & Learning Neuroscience,CSV
Wolfram Schultz,Reward Prediction Error (Neuroeconomics),Economics,Behavioral & Cognitive Economics,Neuroeconomics & Neuromarketing,CSV
James J. Gross,Emotion Regulation Strategies,Psychology,Cognitive Science & Neuroscience,B. Neuroscience,CSV
James J. Gross,Cognitive Reappraisal,Psychology,Emotion & Motivation,B. Emotion Regulation,CSV
James J. Gross,Prefrontal Cortex and Emotion Regulation Theory,Nature,Neuro-Evolutionary Affect,"B. Emotion, Fear & Pain",CSV
Carol Ryff,Eudaimonic Well-being,Psychology,Positive Psychology,A. Well-being Models,CSV
William Sears,Attachment Parenting Theory,Psychology,Developmental,C. Attachment & Parenting,CSV
Stephen Chen,Relational Self-Construal,Psychology,"Critical, Cultural & Environmental",B. Cross-Cultural,CSV
Harry C. Triandis,Cultural Syndromes,Psychology,"Critical, Cultural & Environmental",B. Cross-Cultural,CSV
Laura S. Brown,Feminist Therapy,Psychology,Counseling & Psychotherapy,C. Multicultural & Feminist,CSV
SAMHSA,Trauma-Informed Care,Psychology,Counseling & Psychotherapy,C. Multicultural & Feminist,CSV
Robert Zajonc,Social Facilitation Theory,Psychology,Social Psychology,D. Group Dynamics,CSV
Howard Markman,Demand/Withdraw Pattern,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,CSV
Caryl Rusbult,Investment Model of Commitment,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,CSV
Leslie Baxter,Relational Dialectics Theory,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,CSV
Barbara Montgomery,Relational Dialectics Theory,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,CSV
Howard Giles,Communication Accommodation Theory,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,CSV
Martin L. Hoffman,Empathy Development Theory,Psychology,Developmental,A. Cognitive & Moral Development,CSV
Wimmer,False-Belief Task (Theory of Mind),Psychology,Developmental,A. Cognitive & Moral Development,CSV
Perner,False-Belief Task (Theory of Mind),Psychology,Developmental,A. Cognitive & Moral Development,CSV
Heinz Kohut,Self Psychology,Psychology,Personality,B. Dynamic & Process Models,CSV
Jeffrey Gray,Reinforcement Sensitivity Theory (RST),Psychology,Personality,C. Self & Self-Concept,CSV
Jeffrey Gray,Behavioral Inhibition System (BIS),Psychology,Personality,B. Dynamic & Process Models,CSV
Jeffrey Gray,Behavioral Activation System (BAS),Psychology,Personality,B. Dynamic & Process Models,CSV
Jeffrey Gray,Biological Big Five Personality Theory,Nature,Biological Basis of Mind & Behavior,A. Personality & Temperament,CSV
Michael Scheier,Dispositional Optimism,Psychology,Positive Psychology,B. Strengths & Virtues,CSV
Charles Carver,Dispositional Optimism,Psychology,Positive Psychology,B. Strengths & Virtues,CSV
Wiers,Dual Process Theory of Addiction,Psychology,Health Psychology,C. Addiction & Health Behavior,CSV
Stacy,Dual Process Theory of Addiction,Psychology,Health Psychology,C. Addiction & Health Behavior,CSV
Marlat,Dual Process Theory of Addiction,Psychology,Health Psychology,C. Addiction & Health Behavior,CSV
Richard Tedeschi,Post-Traumatic Growth (PTG),Psychology,Clinical & Psychopathology,C. Trauma & Resilience,CSV
Lawrence Calhoun,Post-Traumatic Growth (PTG),Psychology,Clinical & Psychopathology,C. Trauma & Resilience,CSV
